IF QUE TYPE=1 PHASE=RT, OTHERWISE  QUE TYPE=0
20475	 20476	 -1	 0.000	 0 
24563	 20476	 -1	 0.063	 0 
24563	 1721893	 -1	 0.063	 0 
24563	 24562	 -1	 0.000	 0 
1721892	 20476	 -1	 0.021	 0 
1721892	 24562	 -1	 0.021	 1 
1721892	 1721893	 -1	 0.000	 0 
738	 742	 -1	 0.042	 0 
738	 20475	 -1	 0.042	 1 
738	 737	 -1	 0.042	 0 
741	 737	 -1	 0.084	 0 
741	 20475	 -1	 0.084	 0 
741	 742	 -1	 0.000	 0 
20476	 737	 -1	 0.063	 0 
20476	 742	 -1	 0.063	 1 
20476	 20475	 -1	 0.000	 0 
