QUE	 (100038, 100040) 
17.4	 1	 1
32.1	 2	 1
67.0	 3	 1
78.8	 2	 4
79.0	 1	 4
79.2	 0	 4
98.2	 1	 1
98.5	 0	 4
105.8	 1	 1
106.1	 0	 4
114.5	 1	 1
114.8	 0	 4
123.9	 1	 1
172.5	 2	 1
195.7	 3	 1
198.7	 2	 4
198.8	 1	 4
199.0	 0	 4
205.4	 1	 1
205.7	 0	 4
245.8	 1	 1
256.0	 2	 1
270.8	 3	 1
284.3	 4	 1
293.8	 5	 1
294.1	 6	 1
318.8	 5	 4
319.0	 4	 4
319.2	 3	 4
319.4	 2	 4
319.5	 1	 4
319.7	 0	 4
352.1	 1	 1
352.4	 0	 4
394.0	 1	 1
396.5	 2	 1
399.2	 3	 1
411.9	 4	 1
438.8	 3	 4
439.0	 2	 4
439.2	 1	 4
439.4	 0	 4
446.7	 1	 1
447.0	 0	 4
463.5	 1	 1
463.8	 0	 4
530.7	 1	 1
548.3	 2	 1
548.9	 3	 1
551.2	 4	 1
552.6	 5	 1
558.8	 4	 4
559.0	 3	 4
559.2	 2	 4
559.4	 1	 4
559.6	 0	 4
574.9	 1	 1
575.2	 0	 4
613.8	 1	 1
620.3	 2	 1
628.0	 3	 1
636.4	 4	 1
637.4	 5	 1
663.5	 6	 1
672.0	 7	 1
678.8	 6	 4
678.8	 7	 1
679.0	 6	 4
679.2	 5	 4
679.4	 4	 4
679.6	 3	 4
679.8	 2	 4
680.0	 1	 4
680.2	 0	 4
715.9	 1	 1
716.2	 0	 4
730.7	 1	 1
734.7	 2	 1
734.8	 3	 1
743.0	 4	 1
778.6	 5	 1
798.8	 4	 4
799.0	 3	 4
799.2	 2	 4
799.4	 1	 4
799.6	 0	 4
801.5	 1	 1
801.8	 0	 4
803.9	 1	 1
804.2	 0	 4
867.1	 1	 1
882.3	 2	 1
903.1	 3	 1
918.8	 2	 4
919.0	 1	 4
919.2	 0	 4
927.8	 1	 1
928.1	 0	 4
934.8	 1	 1
935.1	 0	 4
945.8	 1	 1
946.1	 0	 4
953.6	 1	 1
953.9	 0	 4
958.8	 1	 1
959.1	 0	 4
984.5	 1	 1
989.6	 2	 1
1006.0	 3	 1
1038.8	 2	 4
1039.0	 1	 4
1039.2	 0	 4
1109.3	 1	 1
1132.0	 2	 1
1158.8	 1	 4
1159.0	 0	 4
1177.1	 1	 1
1177.4	 0	 4
1178.4	 1	 1
1178.7	 0	 4
1188.2	 1	 1
1188.5	 0	 4
1194.9	 1	 1
1195.2	 0	 4
