QUE	 (100044, 200011) 
4.5	 1	 1
11.2	 2	 1
20.1	 3	 1
42.8	 2	 4
43.0	 1	 4
43.2	 0	 4
82.6	 1	 1
112.0	 2	 1
113.8	 3	 1
117.1	 4	 1
162.7	 3	 4
162.8	 2	 4
163.0	 1	 4
163.2	 0	 4
268.5	 1	 1
275.8	 2	 1
282.8	 1	 4
283.0	 0	 4
331.4	 1	 1
402.8	 0	 4
631.2	 1	 1
642.8	 0	 4
737.4	 1	 1
762.8	 0	 4
768.2	 1	 1
768.5	 0	 4
780.3	 1	 1
780.6	 0	 4
788.1	 1	 1
788.4	 0	 4
817.4	 1	 1
843.8	 2	 1
882.8	 1	 4
883.0	 0	 4
967.7	 1	 1
1002.8	 0	 4
1086.3	 1	 1
1122.8	 0	 4
1144.9	 1	 1
1145.2	 0	 4
1169.2	 1	 1
