QUE	 (100048, 200017) 
46.2	 1	 1
67.0	 2	 1
85.5	 3	 1
99.3	 2	 4
99.5	 1	 4
99.7	 0	 4
107.0	 1	 1
107.3	 0	 4
140.2	 1	 1
143.4	 2	 1
145.9	 3	 1
154.7	 4	 1
165.5	 5	 1
167.0	 6	 1
199.1	 7	 1
219.3	 6	 4
219.5	 5	 4
219.7	 4	 4
219.9	 3	 4
220.1	 2	 4
220.3	 1	 4
220.5	 0	 4
226.5	 1	 1
226.8	 0	 4
230.1	 1	 1
230.4	 0	 4
245.0	 1	 1
278.1	 2	 1
309.3	 3	 1
310.0	 4	 1
316.1	 5	 1
329.1	 6	 1
339.3	 5	 4
339.5	 4	 4
339.7	 3	 4
339.9	 2	 4
340.0	 1	 4
340.2	 0	 4
345.7	 1	 1
346.0	 0	 4
347.9	 1	 1
348.2	 0	 4
389.4	 1	 1
398.1	 2	 1
459.3	 1	 4
459.5	 0	 4
503.6	 1	 1
579.3	 0	 4
580.5	 1	 1
580.8	 0	 4
585.3	 1	 1
585.6	 0	 4
635.4	 1	 1
645.0	 2	 1
661.6	 3	 1
664.0	 4	 1
668.5	 5	 1
692.6	 6	 1
699.3	 5	 4
699.5	 4	 4
699.7	 3	 4
699.9	 2	 4
700.1	 1	 4
700.3	 0	 4
791.7	 1	 1
815.5	 2	 1
819.3	 1	 4
819.5	 0	 4
826.6	 1	 1
826.9	 0	 4
840.0	 1	 1
865.0	 2	 1
921.1	 3	 1
924.0	 4	 1
930.8	 5	 1
934.4	 6	 1
939.3	 5	 4
939.5	 4	 4
939.7	 3	 4
939.9	 2	 4
940.1	 1	 4
940.3	 0	 4
1011.0	 1	 1
1059.3	 0	 4
1079.1	 1	 1
1130.7	 2	 1
1137.1	 3	 1
1137.5	 4	 1
1158.8	 5	 1
1179.3	 4	 4
1179.5	 3	 4
1179.7	 2	 4
1179.9	 1	 4
1180.1	 0	 4
