QUE	 (10005, 20002) 
7.7	 1	 1
8.2	 0	 4
10.0	 1	 1
10.2	 0	 4
13.7	 1	 1
14.0	 0	 4
27.1	 1	 1
27.4	 0	 4
49.6	 1	 1
49.8	 2	 1
65.8	 3	 1
78.3	 2	 4
78.5	 1	 4
78.7	 0	 4
81.1	 1	 1
81.4	 0	 4
84.8	 1	 1
85.1	 0	 4
93.4	 1	 1
93.7	 0	 4
128.2	 1	 1
131.7	 2	 1
132.0	 3	 1
141.0	 4	 1
148.2	 3	 4
148.3	 2	 4
148.5	 1	 4
148.7	 0	 4
153.3	 1	 1
153.6	 0	 4
165.0	 1	 1
165.2	 0	 4
170.7	 1	 1
171.0	 0	 4
185.9	 1	 1
197.7	 2	 1
215.6	 3	 1
218.3	 2	 4
218.5	 1	 4
218.7	 0	 4
221.5	 1	 1
221.5	 2	 1
221.8	 1	 4
222.0	 0	 4
234.8	 1	 1
235.1	 0	 4
235.4	 1	 1
235.7	 0	 4
248.6	 1	 1
250.5	 2	 1
250.5	 3	 1
267.6	 4	 1
282.4	 5	 1
288.3	 4	 4
288.5	 3	 4
288.7	 2	 4
288.9	 1	 4
289.0	 0	 4
289.5	 1	 1
289.8	 0	 4
304.0	 1	 1
304.3	 0	 4
311.7	 1	 1
312.0	 0	 4
314.2	 1	 1
314.5	 0	 4
319.4	 1	 1
332.1	 2	 1
349.0	 3	 1
350.5	 4	 1
355.7	 5	 1
356.3	 6	 1
358.3	 5	 4
358.5	 4	 4
358.7	 3	 4
358.9	 2	 4
359.0	 1	 4
359.2	 0	 4
360.3	 1	 1
360.5	 0	 4
362.4	 1	 1
362.7	 0	 4
366.9	 1	 1
367.2	 0	 4
373.6	 1	 1
373.9	 0	 4
391.1	 1	 1
397.8	 2	 1
406.7	 3	 1
416.5	 4	 1
427.1	 5	 1
428.3	 4	 4
428.5	 3	 4
428.7	 2	 4
428.9	 1	 4
429.1	 0	 4
439.2	 1	 1
439.5	 0	 4
448.4	 1	 1
448.7	 0	 4
456.7	 1	 1
457.0	 0	 4
481.7	 1	 1
498.3	 0	 4
499.0	 1	 1
499.3	 0	 4
502.0	 1	 1
502.3	 0	 4
511.7	 1	 1
512.0	 0	 4
520.9	 1	 1
521.2	 0	 4
531.2	 1	 1
535.4	 2	 1
537.0	 3	 1
541.3	 4	 1
559.6	 5	 1
565.8	 6	 1
568.3	 5	 4
568.5	 4	 4
568.7	 3	 4
568.9	 2	 4
569.1	 1	 4
569.3	 0	 4
584.9	 1	 1
585.2	 0	 4
585.8	 1	 1
586.1	 0	 4
589.8	 1	 1
590.1	 0	 4
597.2	 1	 1
601.7	 2	 1
607.6	 3	 1
622.4	 4	 1
622.8	 5	 1
637.7	 6	 1
638.3	 5	 4
638.5	 6	 1
638.5	 5	 4
638.7	 4	 4
638.9	 3	 4
639.1	 2	 4
639.3	 1	 4
639.5	 0	 4
670.6	 1	 1
676.9	 2	 1
677.5	 3	 1
678.3	 4	 1
680.6	 5	 1
681.4	 6	 1
682.9	 7	 1
701.8	 8	 1
708.3	 7	 4
708.5	 6	 4
708.7	 5	 4
708.9	 4	 4
709.1	 3	 4
709.3	 2	 4
709.5	 1	 4
709.7	 0	 4
733.4	 1	 1
733.7	 0	 4
763.5	 1	 1
770.4	 2	 1
778.3	 1	 4
778.5	 0	 4
790.2	 1	 1
790.5	 0	 4
811.1	 1	 1
811.5	 2	 1
843.8	 3	 1
844.1	 4	 1
848.3	 3	 4
848.5	 2	 4
848.7	 1	 4
848.9	 0	 4
851.0	 1	 1
851.3	 0	 4
854.1	 1	 1
854.4	 0	 4
859.4	 1	 1
859.7	 0	 4
880.0	 1	 1
918.3	 0	 4
926.6	 1	 1
926.9	 0	 4
932.6	 1	 1
932.9	 0	 4
969.2	 1	 1
971.3	 2	 1
977.2	 3	 1
977.6	 4	 1
985.4	 5	 1
988.3	 4	 4
988.5	 3	 4
988.7	 2	 4
988.9	 1	 4
989.1	 0	 4
989.6	 1	 1
989.9	 0	 4
999.1	 1	 1
999.4	 0	 4
1012.7	 1	 1
1013.0	 0	 4
1018.2	 1	 1
1025.4	 2	 1
1029.3	 3	 1
1032.9	 4	 1
1035.1	 5	 1
1051.8	 6	 1
1055.8	 7	 1
1058.3	 6	 4
1058.5	 5	 4
1058.7	 4	 4
1058.9	 3	 4
1059.1	 2	 4
1059.3	 1	 4
1059.5	 0	 4
1108.2	 1	 1
1116.7	 2	 1
1119.8	 3	 1
1123.1	 4	 1
1128.3	 3	 4
1128.5	 2	 4
1128.7	 1	 4
1128.9	 0	 4
1136.0	 1	 1
1136.3	 0	 4
1137.4	 1	 1
1137.7	 0	 4
1145.0	 1	 1
1145.3	 0	 4
1182.7	 1	 1
1187.5	 2	 1
1197.4	 3	 1
1198.3	 2	 4
1198.5	 1	 4
1198.7	 0	 4
