QUE	 (100032, 100033) 
85.2	 1	 5
85.5	 0	 4
107.2	 1	 5
107.4	 2	 5
107.6	 3	 5
107.8	 4	 5
139.2	 3	 4
139.3	 2	 4
139.5	 1	 4
139.7	 0	 4
141.2	 1	 5
141.5	 0	 4
155.6	 1	 5
155.8	 0	 4
205.1	 1	 5
205.2	 2	 5
205.4	 1	 4
205.4	 2	 5
205.6	 1	 4
205.8	 0	 4
227.2	 1	 5
227.4	 2	 5
227.8	 3	 5
229.3	 4	 5
232.1	 5	 5
259.3	 4	 4
259.5	 3	 4
259.7	 2	 4
259.9	 1	 4
260.0	 0	 4
274.3	 1	 5
274.5	 0	 4
274.6	 1	 5
274.8	 2	 5
274.9	 1	 4
274.9	 2	 5
275.0	 1	 4
275.2	 0	 4
328.4	 1	 5
328.7	 0	 4
347.2	 1	 5
356.6	 2	 5
360.6	 3	 5
360.8	 4	 5
379.3	 3	 4
379.5	 2	 4
379.7	 1	 4
379.9	 0	 4
382.9	 1	 5
383.2	 0	 4
394.4	 1	 5
394.7	 0	 4
395.1	 1	 5
395.3	 2	 5
395.4	 1	 4
395.5	 0	 4
401.3	 1	 5
401.5	 0	 4
467.2	 1	 5
467.4	 2	 5
467.6	 3	 5
467.8	 4	 5
499.3	 3	 4
499.5	 2	 4
499.7	 1	 4
499.9	 0	 4
505.4	 1	 5
505.6	 2	 5
505.7	 1	 4
505.8	 2	 5
505.9	 1	 4
506.0	 2	 5
506.1	 1	 4
506.3	 0	 4
514.5	 1	 5
514.7	 2	 5
514.8	 1	 4
514.9	 2	 5
515.0	 1	 4
515.1	 2	 5
515.2	 1	 4
515.3	 2	 5
515.4	 1	 4
515.6	 0	 4
523.3	 1	 5
523.6	 0	 4
569.4	 1	 5
569.7	 0	 4
587.2	 1	 5
587.8	 2	 5
619.3	 1	 4
619.5	 0	 4
644.0	 1	 5
644.3	 0	 4
685.2	 1	 5
685.5	 0	 4
707.2	 1	 5
707.4	 2	 5
707.6	 3	 5
707.8	 4	 5
708.2	 5	 5
708.4	 6	 5
708.6	 7	 5
724.6	 8	 5
725.5	 9	 5
731.5	 10	 5
739.3	 9	 4
739.5	 8	 4
739.7	 7	 4
739.9	 6	 4
740.1	 5	 4
740.3	 4	 4
740.5	 3	 4
740.7	 2	 4
740.9	 1	 4
741.1	 0	 4
754.6	 1	 5
754.9	 0	 4
756.3	 1	 5
756.6	 0	 4
758.8	 1	 5
759.1	 0	 4
759.8	 1	 5
760.1	 0	 4
805.4	 1	 5
805.7	 0	 4
827.2	 1	 5
827.4	 2	 5
827.6	 3	 5
828.0	 4	 5
828.2	 5	 5
828.4	 6	 5
850.6	 7	 5
859.3	 6	 4
859.5	 5	 4
859.7	 4	 4
859.9	 3	 4
860.1	 2	 4
860.3	 1	 4
860.5	 0	 4
870.9	 1	 5
871.2	 0	 4
887.6	 1	 5
887.9	 0	 4
925.2	 1	 5
925.5	 0	 4
947.2	 1	 5
947.4	 2	 5
947.6	 3	 5
947.8	 4	 5
948.2	 5	 5
948.4	 6	 5
948.6	 7	 5
948.8	 8	 5
949.0	 9	 5
949.2	 10	 5
949.4	 11	 5
949.6	 12	 5
949.8	 13	 5
966.4	 14	 5
979.3	 13	 4
979.5	 12	 4
979.7	 11	 4
979.9	 10	 4
980.1	 9	 4
980.3	 8	 4
980.5	 7	 4
980.7	 6	 4
980.9	 5	 4
981.1	 4	 4
981.3	 3	 4
981.5	 2	 4
981.7	 1	 4
981.9	 0	 4
994.7	 1	 5
994.9	 2	 5
995.0	 1	 4
995.1	 2	 5
995.2	 1	 4
995.3	 2	 5
995.4	 1	 4
995.5	 2	 5
995.6	 1	 4
995.8	 0	 4
1000.9	 1	 5
1001.2	 0	 4
1045.2	 1	 5
1045.4	 2	 5
1045.5	 1	 4
1045.7	 0	 4
1058.4	 1	 5
1058.7	 0	 4
1067.2	 1	 5
1067.6	 2	 5
1074.1	 3	 5
1085.4	 4	 5
1085.8	 5	 5
1086.0	 6	 5
1086.2	 7	 5
1086.5	 8	 5
1099.3	 7	 4
1099.5	 6	 4
1099.7	 5	 4
1099.9	 4	 4
1100.1	 3	 4
1100.3	 2	 4
1100.5	 1	 4
1100.7	 0	 4
1114.5	 1	 5
1114.7	 2	 5
1114.8	 1	 4
1114.9	 2	 5
1115.0	 1	 4
1115.2	 0	 4
1115.5	 1	 5
1115.7	 2	 5
1115.8	 1	 4
1115.9	 2	 5
1116.0	 1	 4
1116.2	 0	 4
1116.7	 1	 5
1116.9	 2	 5
1117.0	 1	 4
1117.2	 0	 4
1120.0	 1	 5
1120.3	 0	 4
1165.2	 1	 5
1165.4	 2	 5
1165.5	 1	 4
1165.6	 2	 5
1165.7	 1	 4
1165.8	 2	 5
1165.9	 1	 4
1166.0	 2	 5
1166.1	 1	 4
1166.2	 2	 5
1166.3	 1	 4
1166.5	 0	 4
1187.2	 1	 5
1187.4	 2	 5
1187.6	 3	 5
1187.8	 4	 5
1188.0	 5	 5
1188.4	 6	 5
