QUE	 (100017, 100047) 
106.8	 1	 5
133.7	 2	 5
155.2	 1	 4
155.3	 0	 4
161.0	 1	 5
161.2	 0	 4
253.1	 1	 5
269.3	 2	 5
275.3	 1	 4
275.5	 0	 4
346.8	 1	 5
374.2	 2	 5
375.2	 3	 5
375.5	 4	 5
395.3	 3	 4
395.5	 2	 4
395.7	 1	 4
395.9	 0	 4
469.8	 1	 5
472.8	 2	 5
493.7	 3	 5
494.1	 4	 5
515.3	 3	 4
515.5	 2	 4
515.7	 1	 4
515.9	 0	 4
517.8	 1	 5
518.1	 0	 4
531.3	 1	 5
531.6	 0	 4
548.5	 1	 5
586.8	 2	 5
587.4	 3	 5
587.6	 4	 5
587.8	 5	 5
613.5	 6	 5
614.7	 7	 5
626.0	 8	 5
635.3	 7	 4
635.5	 6	 4
635.7	 5	 4
635.9	 4	 4
636.1	 3	 4
636.3	 2	 4
636.5	 1	 4
636.7	 0	 4
707.2	 1	 5
708.4	 2	 5
733.5	 3	 5
755.3	 2	 4
755.5	 1	 4
755.7	 0	 4
828.2	 1	 5
828.4	 2	 5
854.3	 3	 5
855.1	 4	 5
855.7	 5	 5
857.4	 6	 5
864.2	 7	 5
875.3	 6	 4
875.5	 5	 4
875.7	 4	 4
875.9	 3	 4
876.1	 2	 4
876.3	 1	 4
876.5	 0	 4
877.8	 1	 5
878.1	 0	 4
886.2	 1	 5
886.5	 0	 4
946.6	 1	 5
946.8	 2	 5
947.4	 3	 5
948.2	 4	 5
948.6	 5	 5
954.4	 6	 5
973.1	 7	 5
973.3	 8	 5
974.1	 9	 5
988.1	 10	 5
989.6	 11	 5
995.3	 10	 4
995.5	 9	 4
995.7	 8	 4
995.9	 7	 4
996.1	 6	 4
996.3	 5	 4
996.5	 4	 4
996.7	 3	 4
996.9	 2	 4
997.1	 1	 4
997.3	 0	 4
1067.2	 1	 5
1067.6	 2	 5
1068.8	 3	 5
1115.3	 2	 4
1115.5	 1	 4
1115.7	 0	 4
1187.4	 1	 5
