QUE	 (100034, 100073) 
205.6	 1	 5
225.6	 2	 5
254.3	 1	 4
254.5	 0	 4
259.7	 1	 5
259.9	 2	 5
260.0	 1	 4
260.2	 0	 4
261.6	 1	 5
261.9	 0	 4
325.4	 1	 5
345.4	 2	 5
345.6	 3	 5
345.8	 4	 5
374.3	 3	 4
374.5	 2	 4
374.7	 1	 4
374.9	 0	 4
379.8	 1	 5
379.9	 2	 5
380.0	 1	 4
380.2	 0	 4
394.9	 1	 5
395.1	 2	 5
395.2	 1	 4
395.3	 2	 5
395.4	 1	 4
395.5	 0	 4
465.6	 1	 5
465.8	 2	 5
475.0	 3	 5
494.3	 2	 4
494.5	 1	 4
494.7	 0	 4
496.6	 1	 5
496.9	 0	 4
503.3	 1	 5
503.6	 0	 4
515.5	 1	 5
515.8	 0	 4
521.6	 1	 5
521.9	 0	 4
585.4	 1	 5
614.3	 0	 4
619.8	 1	 5
620.0	 2	 5
620.1	 1	 4
620.3	 0	 4
625.8	 1	 5
626.0	 2	 5
626.1	 1	 4
626.3	 0	 4
626.4	 1	 5
626.7	 0	 4
635.7	 1	 5
636.0	 0	 4
764.4	 1	 5
764.7	 0	 4
805.6	 1	 5
825.6	 2	 5
840.3	 3	 5
854.3	 2	 4
854.5	 1	 4
854.7	 0	 4
859.4	 1	 5
859.7	 0	 4
860.0	 1	 5
860.2	 2	 5
860.3	 1	 4
860.5	 0	 4
860.6	 1	 5
860.8	 2	 5
860.9	 1	 4
861.1	 0	 4
861.2	 1	 5
861.5	 0	 4
879.2	 1	 5
879.5	 0	 4
979.4	 1	 5
979.6	 2	 5
979.7	 1	 4
979.8	 2	 5
979.9	 1	 4
980.0	 2	 5
980.1	 1	 4
980.2	 2	 5
980.3	 1	 4
980.5	 0	 4
991.3	 1	 5
991.6	 0	 4
1008.0	 1	 5
1008.3	 0	 4
1065.4	 1	 5
1065.6	 2	 5
1079.2	 3	 5
1094.3	 2	 4
1094.5	 1	 4
1094.7	 0	 4
1099.8	 1	 5
1100.1	 0	 4
1100.4	 1	 5
1100.6	 2	 5
1100.7	 1	 4
1100.9	 0	 4
1101.0	 1	 5
1101.3	 0	 4
1115.1	 1	 5
1115.3	 2	 5
1115.4	 1	 4
1115.5	 2	 5
1115.6	 1	 4
1115.7	 2	 5
1115.8	 1	 4
1115.9	 2	 5
1116.0	 1	 4
1116.2	 0	 4
1165.6	 1	 5
1178.8	 2	 5
1185.6	 3	 5
