QUE	 (200021, 200020) 
218.5	 1	 5
218.7	 2	 5
228.3	 3	 5
228.5	 4	 5
268.3	 3	 4
268.5	 2	 4
268.7	 1	 4
268.9	 0	 4
323.5	 1	 5
323.7	 2	 5
323.8	 1	 4
324.0	 0	 4
364.0	 1	 5
364.2	 2	 5
364.5	 3	 5
365.0	 4	 5
365.5	 5	 5
365.7	 6	 5
366.2	 7	 5
366.4	 8	 5
366.7	 9	 5
367.0	 10	 5
367.2	 11	 5
368.0	 12	 5
368.2	 13	 5
368.4	 14	 5
368.6	 15	 5
368.7	 16	 5
369.0	 17	 5
369.2	 18	 5
369.5	 19	 5
388.3	 18	 4
388.5	 17	 4
388.7	 16	 4
388.9	 15	 4
389.0	 14	 4
389.2	 13	 4
389.4	 12	 4
389.5	 11	 4
389.7	 10	 4
389.9	 9	 4
390.0	 8	 4
390.2	 7	 4
390.4	 6	 4
390.5	 5	 4
390.7	 4	 4
390.9	 3	 4
391.0	 2	 4
391.2	 1	 4
391.4	 0	 4
443.5	 1	 5
443.7	 2	 5
443.8	 1	 4
443.9	 2	 5
444.0	 1	 4
444.1	 2	 5
444.2	 1	 4
444.3	 2	 5
444.4	 1	 4
444.5	 2	 5
444.6	 1	 4
444.7	 2	 5
444.8	 1	 4
444.9	 2	 5
445.0	 1	 4
445.2	 0	 4
563.5	 1	 5
563.7	 2	 5
563.8	 1	 4
563.9	 2	 5
564.0	 1	 4
564.1	 2	 5
564.2	 1	 4
564.3	 2	 5
564.4	 1	 4
564.6	 0	 4
564.7	 1	 5
564.9	 2	 5
565.0	 1	 4
565.1	 2	 5
565.2	 1	 4
565.3	 2	 5
565.4	 1	 4
565.5	 2	 5
565.6	 1	 4
565.7	 2	 5
565.8	 1	 4
565.9	 2	 5
566.0	 1	 4
566.1	 2	 5
566.2	 1	 4
566.3	 2	 5
566.4	 1	 4
566.5	 2	 5
566.6	 1	 4
566.7	 2	 5
566.8	 1	 4
566.9	 2	 5
567.0	 1	 4
567.1	 2	 5
567.2	 1	 4
567.3	 2	 5
567.4	 1	 4
567.5	 2	 5
567.6	 1	 4
567.7	 2	 5
567.8	 1	 4
568.0	 0	 4
568.5	 1	 5
568.7	 2	 5
