QUE	 (200017, 200014) 
45.8	 1	 5
50.1	 2	 5
63.3	 3	 5
67.5	 4	 5
71.5	 5	 5
81.0	 6	 5
84.8	 5	 4
85.0	 4	 4
85.2	 3	 4
85.4	 2	 4
85.6	 1	 4
85.8	 0	 4
121.1	 1	 5
121.3	 2	 5
121.4	 1	 4
121.5	 2	 5
121.6	 1	 4
121.8	 0	 4
126.8	 1	 5
127.1	 0	 4
129.1	 1	 5
129.3	 0	 4
142.6	 1	 5
142.8	 0	 4
153.5	 1	 5
153.7	 0	 4
156.6	 1	 5
156.8	 0	 4
163.0	 1	 5
167.8	 2	 5
170.3	 3	 5
171.0	 4	 5
187.0	 5	 5
196.0	 6	 5
196.1	 7	 5
196.3	 8	 5
200.5	 9	 5
204.7	 8	 4
204.9	 7	 4
205.0	 8	 5
205.1	 7	 4
205.3	 6	 4
205.5	 5	 4
205.7	 4	 4
205.9	 3	 4
206.1	 2	 4
206.3	 1	 4
206.5	 0	 4
207.4	 1	 5
207.7	 0	 4
216.3	 1	 5
216.6	 0	 4
224.5	 1	 5
224.8	 0	 4
236.6	 1	 5
236.9	 0	 4
237.1	 1	 5
237.4	 0	 4
241.1	 1	 5
241.4	 0	 4
241.7	 1	 5
241.9	 2	 5
242.0	 1	 4
242.1	 2	 5
242.2	 1	 4
242.3	 2	 5
242.4	 1	 4
242.6	 0	 4
248.6	 1	 5
248.9	 0	 4
252.2	 1	 5
252.5	 0	 4
255.7	 1	 5
256.0	 0	 4
274.6	 1	 5
274.9	 0	 4
286.3	 1	 5
314.8	 2	 5
316.1	 3	 5
316.3	 4	 5
316.7	 5	 5
324.8	 4	 4
325.0	 3	 4
325.2	 2	 4
325.3	 3	 5
325.4	 2	 4
325.5	 1	 4
325.7	 0	 4
334.3	 1	 5
334.5	 0	 4
348.8	 1	 5
349.0	 0	 4
360.0	 1	 5
360.3	 0	 4
361.1	 1	 5
361.3	 2	 5
361.4	 1	 4
361.5	 2	 5
361.5	 1	 4
361.7	 2	 5
361.8	 3	 5
361.8	 2	 4
362.0	 3	 5
362.0	 2	 4
362.2	 1	 4
362.4	 0	 4
363.1	 1	 5
363.4	 0	 4
367.8	 1	 5
368.0	 0	 4
370.0	 1	 5
370.3	 0	 4
378.2	 1	 5
378.5	 0	 4
383.8	 1	 5
384.0	 0	 4
