QUE	 (100070, 100035) 
7.6	 1	 1
11.0	 2	 1
12.5	 3	 1
12.6	 4	 1
14.4	 5	 1
29.3	 6	 1
34.1	 7	 1
39.4	 8	 1
46.9	 9	 1
53.5	 10	 1
53.6	 11	 1
56.0	 12	 1
62.2	 13	 1
67.7	 14	 1
75.0	 15	 1
86.3	 14	 4
86.5	 13	 4
86.7	 12	 4
86.9	 11	 4
87.1	 10	 4
87.3	 9	 4
87.5	 8	 4
87.7	 7	 4
87.9	 6	 4
88.1	 5	 4
88.3	 4	 4
88.5	 3	 4
88.7	 2	 4
88.9	 1	 4
89.1	 0	 4
93.0	 1	 1
93.3	 0	 4
93.9	 1	 1
94.2	 0	 4
94.8	 1	 1
95.1	 0	 4
100.0	 1	 1
100.3	 0	 4
104.0	 1	 1
104.3	 0	 4
106.4	 1	 1
106.7	 0	 4
107.4	 1	 1
107.7	 0	 4
120.4	 1	 1
124.1	 2	 1
124.8	 3	 1
131.4	 4	 1
133.1	 5	 1
134.5	 6	 1
134.7	 7	 1
135.1	 8	 1
145.4	 9	 1
147.0	 10	 1
148.3	 11	 1
157.8	 12	 1
166.8	 13	 1
179.6	 14	 1
181.1	 15	 1
182.0	 16	 1
187.5	 17	 1
189.2	 18	 1
203.2	 19	 1
206.3	 18	 4
206.5	 17	 4
206.7	 16	 4
206.9	 15	 4
207.1	 16	 1
207.1	 15	 4
207.3	 14	 4
207.5	 13	 4
207.7	 12	 4
207.9	 11	 4
208.1	 10	 4
208.3	 9	 4
208.5	 8	 4
208.7	 7	 4
208.9	 6	 4
209.1	 5	 4
209.3	 4	 4
209.5	 3	 4
209.7	 2	 4
209.9	 1	 4
210.1	 0	 4
213.1	 1	 1
213.4	 0	 4
218.0	 1	 1
218.3	 0	 4
221.4	 1	 1
221.7	 0	 4
230.9	 1	 1
231.2	 2	 1
231.2	 1	 4
231.5	 0	 4
242.9	 1	 1
248.0	 2	 1
248.6	 3	 1
250.7	 4	 1
259.2	 5	 1
268.3	 6	 1
268.3	 7	 1
280.6	 8	 1
290.7	 9	 1
291.6	 10	 1
292.5	 11	 1
298.9	 12	 1
302.5	 13	 1
305.3	 14	 1
312.6	 15	 1
317.7	 16	 1
326.3	 15	 4
326.5	 14	 4
326.7	 13	 4
326.9	 12	 4
327.0	 11	 4
327.2	 10	 4
327.4	 9	 4
327.5	 8	 4
327.6	 9	 1
327.7	 8	 4
327.9	 7	 4
328.0	 6	 4
328.2	 5	 4
328.4	 4	 4
328.5	 3	 4
328.7	 2	 4
328.9	 1	 4
329.0	 0	 4
329.7	 1	 1
330.0	 0	 4
339.9	 1	 1
340.2	 0	 4
349.0	 1	 1
349.3	 0	 4
352.2	 1	 1
352.5	 0	 4
375.4	 1	 1
380.2	 2	 1
381.4	 3	 1
391.2	 4	 1
397.4	 5	 1
399.4	 6	 1
408.0	 7	 1
411.5	 8	 1
412.5	 9	 1
413.9	 10	 1
414.9	 11	 1
419.3	 12	 1
425.8	 13	 1
434.2	 14	 1
435.4	 15	 1
435.5	 16	 1
446.3	 15	 4
446.5	 14	 4
446.7	 13	 4
446.9	 12	 4
447.1	 11	 4
447.3	 10	 4
447.5	 9	 4
447.7	 8	 4
447.9	 7	 4
448.1	 6	 4
448.3	 5	 4
448.5	 4	 4
448.7	 3	 4
448.9	 2	 4
449.1	 1	 4
449.3	 0	 4
458.5	 1	 1
458.8	 0	 4
462.2	 1	 1
462.5	 0	 4
462.6	 1	 1
462.9	 0	 4
476.1	 1	 1
476.4	 0	 4
490.8	 1	 1
497.9	 2	 1
502.9	 3	 1
503.5	 4	 1
504.7	 5	 1
506.5	 6	 1
510.5	 7	 1
528.0	 8	 1
528.7	 9	 1
542.3	 10	 1
555.7	 11	 1
565.8	 12	 1
566.3	 11	 4
566.5	 10	 4
566.7	 9	 4
566.9	 8	 4
567.1	 7	 4
567.3	 6	 4
567.5	 5	 4
567.7	 4	 4
567.9	 3	 4
568.0	 4	 1
568.1	 3	 4
568.3	 2	 4
568.5	 1	 4
568.7	 0	 4
574.0	 1	 1
574.3	 0	 4
578.4	 1	 1
578.7	 0	 4
580.6	 1	 1
580.9	 0	 4
584.7	 1	 1
585.0	 0	 4
586.1	 1	 1
586.4	 0	 4
588.5	 1	 1
588.8	 0	 4
596.4	 1	 1
596.7	 0	 4
597.2	 1	 1
597.5	 0	 4
618.0	 1	 1
625.6	 2	 1
627.2	 3	 1
640.3	 4	 1
645.0	 5	 1
653.2	 6	 1
666.1	 7	 1
668.8	 8	 1
669.3	 9	 1
674.5	 10	 1
677.7	 11	 1
684.6	 12	 1
686.3	 11	 4
686.5	 10	 4
686.7	 9	 4
686.9	 8	 4
687.1	 7	 4
687.3	 6	 4
687.5	 5	 4
687.7	 4	 4
687.9	 3	 4
688.1	 2	 4
688.3	 1	 4
688.5	 0	 4
697.4	 1	 1
697.7	 0	 4
709.3	 1	 1
709.6	 0	 4
719.8	 1	 1
741.5	 2	 1
743.8	 3	 1
748.8	 4	 1
750.0	 5	 1
752.8	 6	 1
759.3	 7	 1
764.0	 8	 1
777.3	 9	 1
784.4	 10	 1
795.4	 11	 1
803.7	 12	 1
806.2	 13	 1
806.3	 12	 4
806.5	 11	 4
806.7	 10	 4
806.9	 9	 4
807.1	 8	 4
807.3	 7	 4
807.5	 6	 4
807.7	 5	 4
807.9	 4	 4
808.1	 3	 4
808.3	 2	 4
808.5	 1	 4
808.7	 0	 4
824.1	 1	 1
824.4	 0	 4
826.5	 1	 1
826.8	 0	 4
846.0	 1	 1
847.4	 2	 1
850.3	 3	 1
855.1	 4	 1
859.5	 5	 1
870.7	 6	 1
873.9	 7	 1
875.6	 8	 1
880.2	 9	 1
904.6	 10	 1
911.1	 11	 1
913.1	 12	 1
916.2	 13	 1
920.1	 14	 1
926.3	 13	 4
926.5	 12	 4
926.7	 11	 4
926.9	 10	 4
927.1	 9	 4
927.3	 8	 4
927.5	 7	 4
927.7	 6	 4
927.9	 5	 4
928.1	 4	 4
928.3	 3	 4
928.5	 2	 4
928.7	 1	 4
928.9	 0	 4
941.0	 1	 1
941.3	 0	 4
941.5	 1	 1
941.8	 0	 4
954.7	 1	 1
955.0	 0	 4
964.4	 1	 1
989.4	 2	 1
998.6	 3	 1
999.5	 4	 1
1006.3	 5	 1
1008.1	 6	 1
1008.3	 7	 1
1011.0	 8	 1
1014.3	 9	 1
1017.3	 10	 1
1033.4	 11	 1
1034.6	 12	 1
1038.3	 13	 1
1040.2	 14	 1
1041.8	 15	 1
1043.2	 16	 1
1046.3	 15	 4
1046.5	 14	 4
1046.7	 13	 4
1046.9	 12	 4
1047.1	 11	 4
1047.3	 10	 4
1047.5	 9	 4
1047.7	 8	 4
1047.9	 7	 4
1048.1	 6	 4
1048.3	 5	 4
1048.5	 4	 4
1048.7	 3	 4
1048.9	 2	 4
1049.1	 1	 4
1049.3	 0	 4
1058.0	 1	 1
1058.3	 0	 4
1067.2	 1	 1
1067.5	 0	 4
1070.7	 1	 1
1071.0	 0	 4
1078.4	 1	 1
1078.7	 0	 4
1079.7	 1	 1
1085.4	 2	 1
1090.2	 3	 1
1093.6	 4	 1
1102.2	 5	 1
1110.4	 6	 1
1114.7	 7	 1
1122.4	 8	 1
1130.1	 9	 1
1139.3	 10	 1
1141.5	 11	 1
1151.1	 12	 1
1166.3	 11	 4
1166.5	 10	 4
1166.7	 9	 4
1166.9	 8	 4
1167.1	 7	 4
1167.3	 6	 4
1167.5	 5	 4
1167.7	 4	 4
1167.9	 3	 4
1168.1	 2	 4
1168.3	 1	 4
1168.5	 0	 4
1174.7	 1	 1
1175.0	 0	 4
1186.0	 1	 1
1186.1	 2	 1
1186.3	 1	 4
1186.5	 0	 4
1199.9	 1	 1
