QUE	 (100061, 100060) 
8.3	 1	 1
25.1	 2	 1
37.9	 3	 1
42.8	 2	 4
43.0	 1	 4
43.2	 0	 4
48.7	 1	 1
49.0	 0	 4
73.6	 1	 1
76.1	 2	 1
96.7	 3	 1
101.3	 4	 1
117.2	 5	 1
120.3	 6	 1
126.1	 7	 1
131.0	 8	 1
143.9	 9	 1
144.1	 10	 1
145.6	 11	 1
153.4	 12	 1
162.7	 13	 1
162.7	 12	 4
162.8	 11	 4
163.0	 10	 4
163.2	 9	 4
163.3	 8	 4
163.5	 7	 4
163.7	 6	 4
163.8	 5	 4
164.0	 4	 4
164.2	 3	 4
164.3	 2	 4
164.5	 1	 4
164.7	 0	 4
182.7	 1	 1
183.0	 0	 4
221.0	 1	 1
249.4	 2	 1
251.8	 3	 1
262.9	 4	 1
268.2	 5	 1
272.6	 6	 1
278.9	 7	 1
282.8	 6	 4
283.0	 5	 4
283.2	 4	 4
283.4	 3	 4
283.5	 2	 4
283.7	 1	 4
283.9	 0	 4
327.8	 1	 1
341.0	 2	 1
342.1	 3	 1
351.3	 4	 1
351.7	 5	 1
363.5	 6	 1
385.4	 7	 1
402.8	 6	 4
403.0	 5	 4
403.2	 4	 4
403.4	 3	 4
403.5	 2	 4
403.7	 1	 4
403.9	 0	 4
406.9	 1	 1
407.2	 0	 4
423.5	 1	 1
423.8	 0	 4
433.0	 1	 1
447.7	 2	 1
492.8	 3	 1
495.8	 4	 1
504.5	 5	 1
513.6	 6	 1
522.8	 5	 4
523.0	 4	 4
523.2	 3	 4
523.4	 2	 4
523.6	 1	 4
523.8	 0	 4
525.4	 1	 1
525.7	 0	 4
530.2	 1	 1
530.5	 0	 4
532.8	 1	 1
533.1	 0	 4
537.6	 1	 1
537.9	 0	 4
564.0	 1	 1
572.4	 2	 1
576.5	 3	 1
605.0	 4	 1
613.0	 5	 1
640.7	 6	 1
642.8	 5	 4
643.0	 4	 4
643.2	 3	 4
643.4	 2	 4
643.6	 1	 4
643.8	 0	 4
665.6	 1	 1
665.9	 0	 4
681.5	 1	 1
699.0	 2	 1
737.7	 3	 1
743.1	 4	 1
762.8	 3	 4
763.0	 2	 4
763.2	 1	 4
763.4	 0	 4
767.0	 1	 1
767.3	 0	 4
771.0	 1	 1
771.3	 0	 4
782.3	 1	 1
782.6	 0	 4
806.5	 1	 1
829.1	 2	 1
839.4	 3	 1
847.7	 4	 1
874.0	 5	 1
882.8	 4	 4
883.0	 3	 4
883.2	 2	 4
883.4	 1	 4
883.6	 0	 4
969.9	 1	 1
971.8	 2	 1
977.5	 3	 1
983.0	 4	 1
994.2	 5	 1
999.6	 6	 1
1002.8	 5	 4
1003.0	 4	 4
1003.2	 3	 4
1003.4	 2	 4
1003.6	 1	 4
1003.8	 0	 4
1006.3	 1	 1
1006.6	 0	 4
1012.5	 1	 1
1012.8	 0	 4
1013.6	 1	 1
1013.9	 0	 4
1045.6	 1	 1
1057.1	 2	 1
1063.2	 3	 1
1066.3	 4	 1
1067.4	 5	 1
1090.0	 6	 1
1112.8	 7	 1
1122.8	 6	 4
1123.0	 5	 4
1123.2	 4	 4
1123.4	 3	 4
1123.6	 2	 4
1123.8	 1	 4
1124.0	 0	 4
1125.3	 1	 1
1125.6	 0	 4
1131.1	 1	 1
1131.4	 0	 4
1164.6	 1	 1
1169.3	 2	 1
1174.1	 3	 1
1182.6	 4	 1
1185.6	 5	 1
1194.5	 6	 1
