QUE	 (200028, 200024) 
77.5	 1	 5
82.4	 2	 5
91.0	 3	 5
91.5	 4	 5
108.2	 5	 5
145.2	 4	 4
145.3	 3	 4
145.5	 2	 4
145.7	 1	 4
145.8	 0	 4
154.8	 1	 5
155.0	 2	 5
155.1	 1	 4
155.2	 0	 4
165.2	 1	 5
165.5	 0	 4
169.2	 1	 5
169.5	 0	 4
215.5	 1	 5
216.4	 2	 5
228.6	 3	 5
233.2	 4	 5
233.4	 5	 5
233.7	 6	 5
233.9	 7	 5
234.1	 8	 5
234.2	 9	 5
234.4	 10	 5
234.7	 11	 5
235.1	 12	 5
235.2	 13	 5
235.4	 14	 5
235.6	 15	 5
235.9	 16	 5
236.2	 17	 5
236.4	 18	 5
236.6	 19	 5
236.7	 20	 5
238.6	 21	 5
241.2	 22	 5
241.6	 23	 5
247.9	 24	 5
248.0	 25	 5
250.4	 26	 5
253.1	 27	 5
253.6	 28	 5
253.9	 29	 5
255.7	 30	 5
257.6	 31	 5
261.2	 32	 5
285.2	 33	 5
285.4	 34	 5
285.6	 35	 5
285.8	 36	 5
290.3	 35	 4
290.5	 34	 4
290.7	 33	 4
290.9	 32	 4
291.0	 31	 4
291.2	 30	 4
291.4	 29	 4
291.5	 28	 4
291.7	 27	 4
291.9	 26	 4
292.0	 27	 5
292.0	 26	 4
292.2	 25	 4
292.4	 24	 4
292.5	 23	 4
292.7	 22	 4
292.8	 23	 5
292.9	 22	 4
293.0	 21	 4
293.2	 20	 4
293.4	 19	 4
293.5	 18	 4
293.7	 17	 4
293.9	 16	 4
294.0	 15	 4
294.2	 14	 4
294.4	 13	 4
294.5	 12	 4
294.7	 11	 4
294.9	 10	 4
295.0	 9	 4
295.2	 8	 4
295.4	 7	 4
295.5	 6	 4
295.7	 5	 4
295.9	 4	 4
296.0	 3	 4
296.2	 2	 4
296.4	 1	 4
296.5	 0	 4
318.8	 1	 5
319.0	 0	 4
320.6	 1	 5
320.9	 0	 4
353.4	 1	 5
353.6	 2	 5
353.7	 1	 4
353.8	 2	 5
353.9	 3	 5
353.9	 2	 4
354.0	 1	 4
354.1	 2	 5
354.2	 1	 4
354.3	 2	 5
354.4	 3	 5
354.4	 2	 4
354.5	 1	 4
354.6	 2	 5
354.7	 1	 4
354.8	 2	 5
354.9	 3	 5
354.9	 2	 4
355.0	 1	 4
355.1	 2	 5
355.2	 1	 4
355.3	 2	 5
355.4	 3	 5
355.4	 2	 4
355.5	 1	 4
355.6	 2	 5
355.6	 1	 4
355.8	 2	 5
355.9	 3	 5
356.1	 4	 5
356.4	 5	 5
356.6	 6	 5
356.8	 7	 5
356.9	 8	 5
357.3	 9	 5
357.4	 10	 5
357.6	 11	 5
357.9	 12	 5
358.1	 13	 5
358.3	 14	 5
358.6	 15	 5
358.8	 16	 5
358.9	 17	 5
359.1	 18	 5
359.3	 19	 5
359.4	 20	 5
364.9	 21	 5
366.7	 22	 5
370.1	 23	 5
379.4	 24	 5
405.2	 25	 5
405.4	 26	 5
405.6	 27	 5
405.8	 28	 5
405.9	 29	 5
406.1	 30	 5
406.3	 31	 5
410.9	 32	 5
416.9	 33	 5
435.3	 32	 4
435.5	 31	 4
435.7	 30	 4
435.9	 29	 4
436.1	 28	 4
436.3	 27	 4
436.5	 26	 4
436.7	 25	 4
436.9	 24	 4
437.1	 23	 4
437.3	 22	 4
437.5	 21	 4
437.7	 20	 4
437.9	 19	 4
438.1	 18	 4
438.3	 17	 4
438.5	 16	 4
438.7	 15	 4
438.9	 14	 4
439.1	 13	 4
439.3	 12	 4
439.5	 11	 4
439.7	 10	 4
439.9	 9	 4
440.1	 8	 4
440.3	 7	 4
440.5	 6	 4
440.7	 5	 4
440.9	 4	 4
441.1	 3	 4
441.3	 2	 4
441.5	 1	 4
441.7	 0	 4
468.3	 1	 5
468.6	 0	 4
473.4	 1	 5
473.6	 2	 5
473.7	 1	 4
473.8	 2	 5
473.9	 1	 4
474.0	 2	 5
474.1	 1	 4
474.2	 2	 5
474.3	 1	 4
474.4	 2	 5
474.5	 1	 4
474.6	 2	 5
474.6	 3	 5
474.7	 2	 4
474.8	 3	 5
474.9	 2	 4
475.0	 3	 5
475.1	 2	 4
475.2	 3	 5
475.3	 2	 4
475.4	 3	 5
475.5	 2	 4
475.6	 3	 5
475.7	 2	 4
475.8	 3	 5
475.9	 2	 4
476.0	 3	 5
476.1	 2	 4
476.2	 3	 5
476.3	 2	 4
476.4	 3	 5
476.5	 2	 4
476.6	 3	 5
476.7	 2	 4
476.8	 3	 5
476.9	 2	 4
477.0	 3	 5
477.1	 2	 4
477.2	 3	 5
477.3	 2	 4
477.4	 3	 5
477.5	 2	 4
477.6	 3	 5
477.7	 2	 4
477.8	 3	 5
477.9	 2	 4
478.0	 3	 5
478.1	 2	 4
478.2	 3	 5
478.3	 2	 4
478.4	 3	 5
478.5	 2	 4
478.6	 3	 5
478.7	 2	 4
478.8	 3	 5
478.9	 2	 4
479.0	 3	 5
479.1	 2	 4
479.2	 3	 5
479.3	 2	 4
479.4	 3	 5
479.5	 2	 4
479.6	 3	 5
479.7	 2	 4
479.8	 3	 5
479.9	 2	 4
480.0	 3	 5
480.1	 2	 4
480.2	 3	 5
480.3	 2	 4
480.4	 3	 5
480.5	 2	 4
480.6	 3	 5
480.7	 2	 4
480.8	 3	 5
480.9	 2	 4
481.1	 1	 4
481.3	 0	 4
483.5	 1	 5
483.8	 0	 4
484.5	 1	 5
484.8	 0	 4
488.3	 1	 5
488.6	 0	 4
491.2	 1	 5
491.5	 0	 4
499.3	 1	 5
499.6	 0	 4
501.5	 1	 5
516.4	 2	 5
525.2	 3	 5
525.4	 4	 5
525.6	 5	 5
531.5	 6	 5
531.5	 7	 5
543.0	 8	 5
544.6	 9	 5
548.2	 10	 5
556.5	 11	 5
574.1	 12	 5
580.3	 11	 4
580.5	 10	 4
580.7	 9	 4
580.9	 8	 4
581.1	 7	 4
581.3	 6	 4
581.5	 5	 4
581.7	 4	 4
581.9	 3	 4
582.1	 2	 4
582.3	 1	 4
582.5	 0	 4
593.4	 1	 5
593.6	 2	 5
593.7	 1	 4
593.8	 2	 5
593.9	 1	 4
594.0	 2	 5
594.1	 1	 4
594.2	 2	 5
594.3	 1	 4
594.4	 2	 5
594.5	 1	 4
594.6	 2	 5
594.7	 1	 4
594.8	 2	 5
594.9	 1	 4
595.1	 0	 4
595.2	 1	 5
595.5	 0	 4
595.6	 1	 5
595.9	 0	 4
596.2	 1	 5
596.5	 0	 4
596.6	 1	 5
596.8	 2	 5
596.9	 1	 4
597.0	 2	 5
597.1	 1	 4
597.2	 2	 5
597.3	 1	 4
597.4	 2	 5
597.5	 1	 4
597.6	 2	 5
597.7	 1	 4
597.8	 2	 5
597.9	 1	 4
598.1	 0	 4
598.2	 1	 5
598.4	 2	 5
598.5	 1	 4
598.6	 2	 5
598.7	 1	 4
598.8	 2	 5
598.9	 1	 4
599.0	 2	 5
599.1	 1	 4
599.2	 2	 5
599.3	 1	 4
599.4	 2	 5
599.5	 1	 4
599.6	 2	 5
599.7	 1	 4
599.8	 2	 5
599.9	 1	 4
600.0	 2	 5
600.1	 1	 4
600.3	 0	 4
600.4	 1	 5
600.6	 2	 5
600.7	 1	 4
600.8	 2	 5
600.9	 1	 4
601.0	 2	 5
601.1	 1	 4
601.2	 2	 5
601.3	 1	 4
601.5	 0	 4
603.8	 1	 5
604.1	 0	 4
604.8	 1	 5
605.1	 0	 4
606.8	 1	 5
607.1	 0	 4
608.3	 1	 5
608.6	 0	 4
610.9	 1	 5
611.2	 2	 5
611.2	 1	 4
611.5	 0	 4
614.7	 1	 5
615.0	 2	 5
615.0	 1	 4
615.3	 0	 4
615.5	 1	 5
615.8	 0	 4
618.6	 1	 5
618.9	 0	 4
619.1	 1	 5
619.4	 0	 4
644.5	 1	 5
644.8	 0	 4
645.2	 1	 5
645.4	 2	 5
645.5	 1	 4
645.6	 2	 5
645.6	 1	 4
645.8	 2	 5
646.0	 3	 5
646.2	 4	 5
649.0	 5	 5
694.4	 6	 5
701.0	 7	 5
713.4	 8	 5
713.6	 9	 5
713.8	 10	 5
714.0	 11	 5
714.2	 12	 5
714.6	 13	 5
714.8	 14	 5
715.0	 15	 5
