QUE	 (200023, 200021) 
210.0	 1	 5
210.2	 2	 5
210.3	 1	 4
210.5	 0	 4
219.8	 1	 5
220.0	 2	 5
220.1	 1	 4
220.3	 0	 4
276.6	 1	 5
276.8	 2	 5
315.3	 1	 4
315.5	 0	 4
355.5	 1	 5
355.7	 2	 5
355.8	 1	 4
356.0	 2	 5
356.0	 1	 4
356.3	 0	 4
356.5	 1	 5
356.8	 0	 4
357.0	 1	 5
357.3	 2	 5
357.3	 1	 4
357.5	 0	 4
357.7	 1	 5
357.9	 2	 5
358.0	 1	 4
358.2	 0	 4
358.2	 1	 5
358.5	 2	 5
358.5	 1	 4
358.8	 2	 5
358.8	 1	 4
359.0	 0	 4
359.5	 1	 5
359.7	 2	 5
359.8	 1	 4
359.9	 2	 5
360.0	 3	 5
360.0	 2	 4
360.2	 3	 5
360.2	 2	 4
360.4	 1	 4
360.5	 2	 5
360.5	 1	 4
360.7	 2	 5
360.8	 1	 4
361.0	 2	 5
361.0	 1	 4
361.3	 0	 4
383.8	 1	 5
385.7	 2	 5
418.5	 3	 5
418.9	 4	 5
419.2	 5	 5
419.4	 6	 5
420.2	 7	 5
420.4	 8	 5
435.3	 7	 4
435.5	 6	 4
435.7	 5	 4
435.9	 4	 4
436.1	 3	 4
436.3	 2	 4
436.5	 1	 4
436.7	 0	 4
500.1	 1	 5
500.7	 2	 5
501.1	 3	 5
501.5	 4	 5
501.9	 5	 5
502.7	 6	 5
503.5	 7	 5
503.7	 8	 5
503.9	 9	 5
505.1	 10	 5
505.5	 11	 5
505.9	 12	 5
506.3	 13	 5
506.5	 14	 5
533.4	 15	 5
539.1	 16	 5
539.9	 17	 5
540.1	 18	 5
540.3	 19	 5
540.5	 20	 5
540.6	 21	 5
540.9	 22	 5
541.1	 23	 5
541.7	 24	 5
541.9	 25	 5
542.5	 26	 5
542.7	 27	 5
542.9	 28	 5
543.3	 29	 5
543.5	 30	 5
543.9	 31	 5
544.1	 32	 5
544.7	 33	 5
545.1	 34	 5
545.7	 35	 5
553.4	 36	 5
555.3	 35	 4
555.5	 34	 4
555.7	 33	 4
555.9	 32	 4
556.1	 31	 4
556.3	 32	 5
556.3	 31	 4
556.5	 30	 4
556.7	 29	 4
556.9	 28	 4
557.1	 27	 4
557.3	 26	 4
557.5	 25	 4
557.7	 24	 4
557.9	 23	 4
558.1	 22	 4
558.3	 21	 4
558.5	 20	 4
558.7	 19	 4
558.9	 18	 4
559.1	 17	 4
559.3	 16	 4
559.5	 15	 4
559.7	 14	 4
559.9	 13	 4
560.1	 12	 4
560.3	 11	 4
560.5	 10	 4
560.7	 9	 4
560.9	 8	 4
561.1	 7	 4
561.3	 6	 4
561.5	 5	 4
561.7	 4	 4
561.9	 3	 4
562.1	 2	 4
562.3	 1	 4
562.5	 0	 4
632.7	 1	 5
645.1	 2	 5
645.7	 3	 5
646.7	 4	 5
646.9	 5	 5
647.1	 6	 5
647.3	 7	 5
658.9	 8	 5
659.1	 9	 5
659.3	 10	 5
659.5	 11	 5
659.7	 12	 5
659.9	 13	 5
660.3	 14	 5
660.6	 15	 5
