QUE	 (100071, 200034) 
2.1	 1	 1
3.5	 2	 1
7.9	 3	 1
10.4	 4	 1
11.6	 5	 1
11.6	 6	 1
12.5	 7	 1
14.3	 6	 4
14.5	 5	 4
14.7	 4	 4
14.9	 3	 4
15.1	 2	 4
15.3	 1	 4
15.5	 0	 4
17.1	 1	 1
17.4	 0	 4
18.9	 1	 1
19.2	 0	 4
20.6	 1	 1
20.9	 0	 4
21.8	 1	 1
22.0	 0	 4
25.5	 1	 1
25.8	 0	 4
27.3	 1	 1
27.6	 0	 4
28.3	 1	 1
28.4	 2	 1
28.6	 1	 4
28.8	 0	 4
29.4	 1	 1
29.7	 0	 4
34.0	 1	 1
34.3	 0	 4
34.5	 1	 1
34.8	 0	 4
37.8	 1	 1
38.1	 0	 4
38.6	 1	 1
38.6	 2	 1
38.9	 1	 4
39.1	 0	 4
41.5	 1	 1
41.8	 0	 4
47.9	 1	 1
48.2	 0	 4
50.6	 1	 1
50.8	 2	 1
50.9	 1	 4
51.1	 0	 4
57.2	 1	 1
57.5	 0	 4
59.7	 1	 1
60.0	 0	 4
62.3	 1	 1
62.6	 0	 4
62.9	 1	 1
63.2	 0	 4
65.1	 1	 1
65.4	 0	 4
70.5	 1	 1
70.8	 0	 4
73.1	 1	 1
76.5	 2	 1
77.0	 3	 1
80.4	 4	 1
97.0	 5	 1
99.9	 6	 1
101.3	 7	 1
103.7	 8	 1
105.8	 9	 1
107.1	 10	 1
110.8	 11	 1
116.0	 12	 1
116.5	 13	 1
123.4	 14	 1
124.4	 15	 1
125.6	 16	 1
126.7	 17	 1
127.5	 18	 1
129.5	 19	 1
130.5	 20	 1
134.2	 19	 4
134.3	 18	 4
134.5	 17	 4
134.7	 16	 4
134.8	 15	 4
135.0	 14	 4
135.2	 13	 4
135.3	 12	 4
135.5	 11	 4
135.7	 10	 4
135.8	 9	 4
136.0	 8	 4
136.2	 7	 4
136.3	 6	 4
136.5	 5	 4
136.7	 6	 1
136.7	 5	 4
136.8	 4	 4
137.0	 3	 4
137.2	 2	 4
137.3	 1	 4
137.5	 2	 1
137.5	 1	 4
137.7	 0	 4
142.5	 1	 1
142.7	 0	 4
144.3	 1	 1
144.6	 0	 4
157.5	 1	 1
157.7	 0	 4
160.2	 1	 1
160.5	 0	 4
164.5	 1	 1
164.7	 2	 1
164.7	 1	 4
164.8	 2	 1
165.0	 1	 4
165.2	 0	 4
165.2	 1	 1
165.5	 0	 4
165.7	 1	 1
166.0	 0	 4
167.1	 1	 1
167.3	 0	 4
168.6	 1	 1
168.8	 0	 4
179.5	 1	 1
179.7	 0	 4
184.9	 1	 1
185.2	 0	 4
188.1	 1	 1
188.3	 0	 4
188.8	 1	 1
189.1	 0	 4
193.6	 1	 1
195.5	 2	 1
198.0	 3	 1
200.7	 4	 1
206.4	 5	 1
207.1	 6	 1
207.7	 7	 1
212.0	 8	 1
212.2	 9	 1
212.4	 10	 1
216.0	 11	 1
216.7	 12	 1
218.4	 13	 1
221.0	 14	 1
226.0	 15	 1
237.3	 16	 1
237.7	 17	 1
240.9	 18	 1
244.1	 19	 1
248.4	 20	 1
251.1	 21	 1
251.5	 22	 1
252.4	 23	 1
254.3	 22	 4
254.5	 21	 4
254.7	 20	 4
254.9	 19	 4
254.9	 20	 1
255.1	 19	 4
255.3	 18	 4
255.5	 17	 4
255.7	 16	 4
255.9	 15	 4
256.1	 14	 4
256.3	 13	 4
256.5	 12	 4
256.7	 11	 4
256.7	 12	 1
256.9	 11	 4
257.0	 10	 4
257.2	 9	 4
257.4	 8	 4
257.5	 7	 4
257.7	 6	 4
257.9	 5	 4
258.0	 4	 4
258.2	 3	 4
258.4	 2	 4
258.5	 1	 4
258.7	 0	 4
259.3	 1	 1
259.5	 0	 4
259.7	 1	 1
260.0	 2	 1
260.0	 1	 4
260.3	 0	 4
267.2	 1	 1
267.5	 0	 4
270.7	 1	 1
271.0	 0	 4
275.7	 1	 1
276.0	 0	 4
276.4	 1	 1
276.7	 0	 4
277.5	 1	 1
277.8	 0	 4
278.5	 1	 1
278.8	 0	 4
279.8	 1	 1
279.9	 2	 1
280.0	 1	 4
280.2	 2	 1
280.2	 1	 4
280.5	 0	 4
280.8	 1	 1
281.0	 0	 4
282.8	 1	 1
283.0	 0	 4
284.0	 1	 1
284.3	 0	 4
289.0	 1	 1
289.3	 0	 4
289.6	 1	 1
289.9	 0	 4
292.7	 1	 1
293.0	 0	 4
293.8	 1	 1
294.0	 0	 4
297.5	 1	 1
297.8	 0	 4
310.8	 1	 1
311.0	 0	 4
311.2	 1	 1
314.6	 2	 1
318.7	 3	 1
320.0	 4	 1
320.9	 5	 1
322.5	 6	 1
323.5	 7	 1
324.4	 8	 1
330.1	 9	 1
332.6	 10	 1
334.3	 11	 1
337.4	 12	 1
337.8	 13	 1
338.0	 14	 1
339.3	 15	 1
340.2	 16	 1
342.3	 17	 1
343.4	 18	 1
344.2	 19	 1
345.7	 20	 1
345.7	 21	 1
347.2	 22	 1
349.1	 23	 1
356.2	 24	 1
362.9	 25	 1
364.1	 26	 1
374.3	 25	 4
374.5	 24	 4
374.7	 23	 4
374.9	 22	 4
374.9	 23	 1
375.0	 22	 4
375.2	 21	 4
375.4	 22	 1
375.4	 21	 4
375.5	 20	 4
375.7	 19	 4
375.9	 18	 4
376.0	 17	 4
376.2	 16	 4
376.4	 15	 4
376.5	 14	 4
376.7	 13	 4
376.9	 12	 4
377.0	 11	 4
377.2	 10	 4
377.4	 9	 4
377.5	 8	 4
377.7	 7	 4
377.9	 6	 4
378.0	 5	 4
378.1	 6	 1
378.2	 5	 4
378.4	 4	 4
378.5	 3	 4
378.7	 2	 4
378.9	 1	 4
379.0	 0	 4
379.4	 1	 1
379.7	 0	 4
382.7	 1	 1
383.0	 0	 4
384.1	 1	 1
384.4	 0	 4
384.9	 1	 1
385.2	 0	 4
386.2	 1	 1
386.5	 0	 4
387.5	 1	 1
387.8	 0	 4
392.7	 1	 1
393.0	 0	 4
394.4	 1	 1
394.7	 0	 4
395.6	 1	 1
395.9	 0	 4
396.6	 1	 1
396.9	 0	 4
407.0	 1	 1
407.3	 0	 4
413.0	 1	 1
413.3	 0	 4
414.0	 1	 1
414.3	 0	 4
417.5	 1	 1
417.8	 0	 4
420.4	 1	 1
420.7	 0	 4
423.9	 1	 1
424.2	 2	 1
424.2	 1	 4
424.5	 0	 4
428.1	 1	 1
428.2	 2	 1
428.4	 1	 4
428.6	 0	 4
437.8	 1	 1
438.2	 2	 1
439.7	 3	 1
440.4	 4	 1
445.0	 5	 1
448.5	 6	 1
448.7	 7	 1
448.8	 8	 1
449.1	 9	 1
453.5	 10	 1
454.6	 11	 1
454.8	 12	 1
458.3	 13	 1
458.9	 14	 1
463.2	 15	 1
463.8	 16	 1
464.1	 17	 1
467.4	 18	 1
469.9	 19	 1
474.9	 20	 1
479.6	 21	 1
481.0	 22	 1
482.0	 23	 1
485.2	 24	 1
485.9	 25	 1
486.2	 26	 1
489.1	 27	 1
491.4	 28	 1
493.8	 29	 1
494.3	 28	 4
494.5	 27	 4
494.7	 26	 4
494.9	 25	 4
495.1	 24	 4
495.3	 25	 1
495.3	 24	 4
495.5	 23	 4
495.7	 22	 4
495.9	 21	 4
496.1	 20	 4
496.3	 19	 4
496.5	 18	 4
496.7	 17	 4
496.9	 18	 1
496.9	 17	 4
497.1	 16	 4
497.3	 15	 4
497.5	 14	 4
497.7	 13	 4
497.9	 12	 4
498.0	 13	 1
498.1	 12	 4
498.3	 13	 1
498.3	 12	 4
498.5	 11	 4
498.7	 10	 4
498.9	 9	 4
499.1	 8	 4
499.3	 7	 4
499.5	 6	 4
499.7	 5	 4
499.9	 4	 4
500.1	 3	 4
500.3	 2	 4
500.5	 1	 4
500.7	 0	 4
505.2	 1	 1
505.5	 0	 4
505.6	 1	 1
505.9	 0	 4
506.4	 1	 1
506.5	 2	 1
506.7	 1	 4
506.9	 0	 4
512.6	 1	 1
512.9	 0	 4
513.0	 1	 1
513.3	 0	 4
513.5	 1	 1
513.8	 0	 4
514.9	 1	 1
515.2	 0	 4
517.6	 1	 1
517.9	 2	 1
517.9	 1	 4
518.2	 0	 4
518.9	 1	 1
519.1	 2	 1
519.2	 1	 4
519.4	 0	 4
520.5	 1	 1
520.8	 0	 4
528.2	 1	 1
528.5	 0	 4
530.4	 1	 1
530.7	 0	 4
531.8	 1	 1
532.1	 0	 4
534.6	 1	 1
534.9	 0	 4
535.7	 1	 1
536.0	 0	 4
536.9	 1	 1
537.2	 0	 4
537.3	 1	 1
537.6	 0	 4
542.2	 1	 1
542.5	 0	 4
546.7	 1	 1
547.0	 0	 4
548.2	 1	 1
548.3	 2	 1
548.5	 1	 4
548.7	 0	 4
549.0	 1	 1
549.3	 0	 4
549.4	 1	 1
549.7	 0	 4
550.7	 1	 1
551.0	 0	 4
554.6	 1	 1
554.7	 2	 1
554.9	 3	 1
557.8	 4	 1
559.3	 5	 1
