QUE	 (100023, 100024) 
78.8	 1	 5
79.1	 0	 4
118.1	 1	 5
118.4	 0	 4
198.7	 1	 5
198.8	 2	 5
199.0	 1	 4
199.0	 2	 5
199.2	 1	 4
199.2	 2	 5
199.3	 1	 4
199.5	 0	 4
237.7	 1	 5
238.0	 0	 4
238.2	 1	 5
238.5	 0	 4
243.2	 1	 5
243.5	 0	 4
318.8	 1	 5
319.0	 2	 5
319.0	 1	 4
319.3	 0	 4
319.4	 1	 5
319.5	 2	 5
319.7	 1	 4
319.9	 0	 4
357.5	 1	 5
357.8	 0	 4
358.2	 1	 5
358.4	 2	 5
358.5	 1	 4
358.7	 0	 4
364.5	 1	 5
364.8	 0	 4
438.8	 1	 5
439.0	 2	 5
439.1	 1	 4
439.2	 2	 5
439.3	 1	 4
439.4	 2	 5
439.5	 3	 5
439.5	 2	 4
439.7	 1	 4
439.9	 0	 4
449.4	 1	 5
449.7	 0	 4
478.5	 1	 5
478.8	 0	 4
481.7	 1	 5
482.0	 0	 4
558.8	 1	 5
559.0	 2	 5
559.1	 1	 4
559.2	 2	 5
559.3	 1	 4
559.4	 2	 5
559.5	 1	 4
559.7	 0	 4
678.8	 1	 5
679.0	 2	 5
679.1	 1	 4
679.2	 2	 5
679.3	 1	 4
679.4	 2	 5
679.5	 1	 4
679.6	 2	 5
679.7	 1	 4
679.9	 0	 4
683.6	 1	 5
683.9	 0	 4
798.8	 1	 5
799.1	 0	 4
799.2	 1	 5
799.4	 2	 5
799.5	 1	 4
799.6	 2	 5
799.7	 1	 4
799.8	 2	 5
799.9	 1	 4
800.0	 2	 5
800.1	 1	 4
800.2	 2	 5
800.3	 1	 4
800.4	 2	 5
800.5	 1	 4
800.7	 0	 4
800.8	 1	 5
801.1	 0	 4
804.0	 1	 5
804.3	 0	 4
818.1	 1	 5
818.4	 0	 4
837.7	 1	 5
838.0	 0	 4
918.8	 1	 5
919.0	 2	 5
919.1	 1	 4
919.2	 2	 5
919.3	 1	 4
919.4	 2	 5
919.5	 1	 4
919.6	 2	 5
919.7	 1	 4
919.8	 2	 5
919.9	 1	 4
920.1	 0	 4
957.5	 1	 5
957.7	 2	 5
957.8	 1	 4
957.9	 2	 5
958.0	 1	 4
958.2	 0	 4
958.9	 1	 5
959.2	 0	 4
959.3	 1	 5
959.6	 0	 4
1038.8	 1	 5
1039.0	 2	 5
1039.1	 1	 4
1039.2	 2	 5
1039.3	 1	 4
1039.4	 2	 5
1039.5	 1	 4
1039.6	 2	 5
1039.7	 1	 4
1039.8	 2	 5
1039.9	 1	 4
1040.0	 2	 5
1040.1	 1	 4
1040.2	 2	 5
1040.3	 1	 4
1040.4	 2	 5
1040.5	 1	 4
1040.6	 2	 5
1040.7	 1	 4
1040.8	 2	 5
1040.9	 1	 4
1041.0	 2	 5
1041.1	 1	 4
1041.2	 2	 5
1041.3	 1	 4
1041.5	 0	 4
1054.3	 1	 5
1054.6	 0	 4
1077.5	 1	 5
1077.7	 2	 5
1077.8	 1	 4
1077.9	 2	 5
1078.0	 1	 4
1078.2	 0	 4
1078.3	 1	 5
1078.6	 0	 4
1079.3	 1	 5
1079.6	 0	 4
1079.7	 1	 5
1080.0	 0	 4
1158.8	 1	 5
1159.0	 2	 5
1159.1	 1	 4
1159.2	 2	 5
1159.3	 1	 4
1159.4	 2	 5
1159.5	 1	 4
1159.6	 2	 5
1159.7	 1	 4
1159.8	 2	 5
1159.9	 1	 4
1160.0	 2	 5
1160.1	 1	 4
1160.2	 2	 5
1160.3	 1	 4
1160.4	 2	 5
1160.5	 1	 4
1160.7	 0	 4
1198.1	 1	 5
1198.4	 0	 4
1198.5	 1	 5
1198.8	 0	 4
