QUE	 (100066, 100050) 
10.0	 1	 1
10.2	 0	 4
11.7	 1	 1
12.0	 0	 4
19.0	 1	 1
19.3	 0	 4
23.4	 1	 1
23.7	 0	 4
25.6	 1	 1
25.9	 0	 4
29.8	 1	 1
31.3	 2	 1
32.7	 3	 1
51.5	 4	 1
65.7	 5	 1
81.2	 6	 1
93.8	 5	 4
94.0	 4	 4
94.2	 3	 4
94.4	 2	 4
94.6	 1	 4
94.8	 0	 4
96.3	 1	 1
96.4	 2	 1
96.6	 1	 4
96.8	 0	 4
108.1	 1	 1
108.4	 0	 4
115.6	 1	 1
115.9	 0	 4
139.5	 1	 1
139.7	 0	 4
140.1	 1	 1
140.3	 0	 4
148.0	 1	 1
151.4	 2	 1
156.5	 3	 1
162.0	 4	 1
165.1	 5	 1
173.2	 6	 1
176.9	 7	 1
178.4	 8	 1
181.5	 9	 1
194.5	 10	 1
200.4	 11	 1
207.6	 12	 1
211.2	 13	 1
213.8	 12	 4
214.0	 11	 4
214.2	 10	 4
214.4	 9	 4
214.6	 8	 4
214.8	 7	 4
215.0	 6	 4
215.2	 5	 4
215.4	 4	 4
215.6	 3	 4
215.8	 2	 4
216.0	 1	 4
216.2	 0	 4
219.8	 1	 1
220.1	 2	 1
220.1	 1	 4
220.4	 0	 4
232.1	 1	 1
232.4	 0	 4
235.9	 1	 1
236.2	 0	 4
249.4	 1	 1
249.7	 0	 4
250.9	 1	 1
251.2	 0	 4
254.9	 1	 1
255.2	 0	 4
257.9	 1	 1
258.2	 0	 4
262.8	 1	 1
263.0	 0	 4
268.5	 1	 1
286.2	 2	 1
292.6	 3	 1
299.0	 4	 1
306.0	 5	 1
318.5	 6	 1
325.9	 7	 1
333.8	 6	 4
334.0	 5	 4
334.2	 4	 4
334.4	 3	 4
334.5	 2	 4
334.7	 1	 4
334.9	 0	 4
345.9	 1	 1
346.2	 0	 4
346.8	 1	 1
347.0	 0	 4
351.3	 1	 1
351.5	 0	 4
355.9	 1	 1
356.2	 0	 4
356.5	 1	 1
356.8	 0	 4
359.0	 1	 1
359.3	 0	 4
369.3	 1	 1
369.5	 0	 4
371.3	 1	 1
371.5	 0	 4
375.7	 1	 1
376.0	 0	 4
376.1	 1	 1
376.4	 0	 4
384.9	 1	 1
385.2	 0	 4
387.9	 1	 1
388.1	 0	 4
390.4	 1	 1
391.6	 2	 1
397.6	 3	 1
414.0	 4	 1
414.7	 5	 1
439.9	 6	 1
441.9	 7	 1
448.0	 8	 1
448.5	 9	 1
450.3	 10	 1
453.8	 9	 4
454.0	 8	 4
454.2	 7	 4
454.4	 6	 4
454.6	 5	 4
454.8	 4	 4
455.0	 5	 1
455.0	 4	 4
455.2	 3	 4
455.4	 2	 4
455.6	 1	 4
455.8	 0	 4
456.5	 1	 1
456.8	 0	 4
462.0	 1	 1
462.3	 0	 4
465.7	 1	 1
466.0	 0	 4
466.8	 1	 1
467.1	 0	 4
470.4	 1	 1
470.7	 0	 4
476.9	 1	 1
477.2	 0	 4
481.2	 1	 1
481.5	 0	 4
486.4	 1	 1
486.7	 0	 4
487.3	 1	 1
487.6	 0	 4
489.4	 1	 1
489.4	 2	 1
489.7	 1	 4
489.9	 0	 4
490.9	 1	 1
491.2	 0	 4
498.1	 1	 1
498.4	 0	 4
498.7	 1	 1
499.0	 0	 4
507.1	 1	 1
507.4	 0	 4
513.0	 1	 1
517.2	 2	 1
519.6	 3	 1
524.6	 4	 1
526.8	 5	 1
531.8	 6	 1
536.7	 7	 1
536.7	 8	 1
539.6	 9	 1
542.1	 10	 1
544.8	 11	 1
545.6	 12	 1
550.4	 13	 1
554.6	 14	 1
556.1	 15	 1
568.2	 16	 1
573.8	 17	 1
573.8	 16	 4
574.0	 15	 4
574.2	 14	 4
574.4	 13	 4
574.6	 12	 4
574.8	 11	 4
575.0	 10	 4
575.2	 9	 4
575.4	 8	 4
575.6	 7	 4
575.8	 6	 4
576.0	 5	 4
576.2	 4	 4
576.4	 3	 4
576.6	 2	 4
576.8	 1	 4
577.0	 0	 4
578.0	 1	 1
578.3	 0	 4
579.9	 1	 1
580.2	 0	 4
582.8	 1	 1
583.1	 0	 4
585.8	 1	 1
586.1	 0	 4
594.3	 1	 1
594.6	 0	 4
602.5	 1	 1
602.8	 0	 4
603.7	 1	 1
604.0	 0	 4
610.6	 1	 1
610.9	 0	 4
614.9	 1	 1
615.2	 0	 4
615.8	 1	 1
616.1	 0	 4
626.7	 1	 1
627.0	 0	 4
636.0	 1	 1
645.0	 2	 1
651.7	 3	 1
653.5	 4	 1
660.1	 5	 1
660.8	 6	 1
675.7	 7	 1
679.7	 8	 1
680.1	 9	 1
683.5	 10	 1
693.8	 9	 4
693.8	 10	 1
694.0	 9	 4
694.2	 8	 4
694.4	 7	 4
694.6	 6	 4
694.8	 5	 4
695.0	 4	 4
695.2	 3	 4
695.4	 2	 4
695.6	 1	 4
695.8	 2	 1
695.8	 1	 4
696.1	 0	 4
698.1	 1	 1
698.4	 0	 4
704.1	 1	 1
704.4	 0	 4
705.1	 1	 1
705.4	 0	 4
708.7	 1	 1
709.0	 0	 4
710.9	 1	 1
711.2	 0	 4
715.4	 1	 1
715.7	 0	 4
717.0	 1	 1
717.3	 0	 4
719.1	 1	 1
719.4	 0	 4
735.5	 1	 1
735.8	 0	 4
746.3	 1	 1
746.6	 0	 4
757.2	 1	 1
763.8	 2	 1
768.0	 3	 1
775.9	 4	 1
787.1	 5	 1
787.2	 6	 1
807.9	 7	 1
811.0	 8	 1
813.8	 7	 4
814.0	 6	 4
814.2	 5	 4
814.4	 4	 4
814.5	 5	 1
814.6	 4	 4
814.8	 3	 4
815.0	 2	 4
815.2	 1	 4
815.4	 0	 4
820.4	 1	 1
820.7	 0	 4
827.6	 1	 1
827.9	 0	 4
830.0	 1	 1
830.3	 0	 4
830.3	 1	 1
830.6	 0	 4
840.8	 1	 1
841.1	 0	 4
842.1	 1	 1
842.4	 0	 4
845.1	 1	 1
845.4	 0	 4
850.8	 1	 1
851.1	 0	 4
859.0	 1	 1
859.3	 0	 4
869.1	 1	 1
873.7	 2	 1
877.1	 3	 1
891.2	 4	 1
901.7	 5	 1
916.3	 6	 1
929.8	 7	 1
933.8	 6	 4
934.0	 5	 4
934.2	 4	 4
934.4	 3	 4
934.6	 2	 4
934.8	 1	 4
935.0	 0	 4
941.7	 1	 1
942.0	 0	 4
942.8	 1	 1
943.1	 0	 4
943.8	 1	 1
944.1	 0	 4
948.6	 1	 1
948.9	 0	 4
949.9	 1	 1
950.2	 0	 4
952.2	 1	 1
952.5	 0	 4
955.3	 1	 1
955.6	 0	 4
957.9	 1	 1
958.2	 0	 4
962.4	 1	 1
962.7	 0	 4
963.8	 1	 1
964.1	 0	 4
971.1	 1	 1
971.4	 0	 4
975.5	 1	 1
975.8	 0	 4
977.1	 1	 1
977.4	 0	 4
980.4	 1	 1
980.7	 0	 4
984.8	 1	 1
985.1	 0	 4
990.4	 1	 1
990.8	 2	 1
997.8	 3	 1
1002.3	 4	 1
1013.3	 5	 1
