QUE	 (100035, 100069) 
100.0	 1	 5
100.2	 2	 5
100.3	 1	 4
100.4	 2	 5
100.5	 1	 4
100.6	 2	 5
100.7	 1	 4
100.8	 2	 5
100.9	 1	 4
101.0	 2	 5
101.1	 1	 4
101.2	 2	 5
101.3	 1	 4
101.4	 2	 5
101.5	 1	 4
101.6	 2	 5
101.7	 1	 4
101.8	 2	 5
101.9	 1	 4
102.0	 2	 5
102.1	 1	 4
102.2	 2	 5
102.3	 1	 4
102.4	 2	 5
102.5	 1	 4
102.6	 2	 5
102.7	 1	 4
102.8	 2	 5
102.9	 1	 4
103.1	 0	 4
107.0	 1	 5
107.3	 0	 4
107.9	 1	 5
108.2	 0	 4
108.8	 1	 5
109.1	 0	 4
114.0	 1	 5
114.3	 0	 4
118.0	 1	 5
118.3	 0	 4
120.4	 1	 5
120.7	 0	 4
121.4	 1	 5
121.7	 0	 4
134.0	 1	 5
134.2	 2	 5
134.2	 1	 4
134.4	 2	 5
134.5	 1	 4
134.6	 2	 5
134.7	 1	 4
134.8	 0	 4
134.8	 1	 5
135.0	 2	 5
135.1	 1	 4
135.2	 2	 5
135.2	 1	 4
135.4	 2	 5
135.5	 1	 4
135.6	 2	 5
135.7	 1	 4
135.8	 2	 5
135.8	 1	 4
136.0	 2	 5
136.1	 1	 4
136.2	 0	 4
136.2	 1	 5
136.4	 2	 5
136.5	 1	 4
136.7	 0	 4
140.0	 1	 5
140.2	 0	 4
220.0	 1	 5
220.2	 2	 5
220.3	 1	 4
220.4	 2	 5
220.5	 1	 4
220.6	 2	 5
220.7	 1	 4
220.8	 2	 5
220.9	 1	 4
221.0	 2	 5
221.1	 1	 4
221.2	 2	 5
221.3	 1	 4
221.4	 2	 5
221.5	 1	 4
221.6	 2	 5
221.7	 1	 4
221.8	 2	 5
221.9	 1	 4
222.0	 2	 5
222.1	 1	 4
222.2	 2	 5
222.3	 1	 4
222.4	 2	 5
222.5	 1	 4
222.6	 2	 5
222.7	 1	 4
222.8	 2	 5
222.9	 1	 4
223.0	 2	 5
223.1	 1	 4
223.2	 2	 5
223.3	 1	 4
223.4	 2	 5
223.5	 1	 4
223.6	 2	 5
223.7	 1	 4
223.8	 2	 5
223.9	 1	 4
224.1	 0	 4
227.1	 1	 5
227.4	 0	 4
232.0	 1	 5
232.3	 0	 4
235.4	 1	 5
235.7	 0	 4
239.4	 1	 5
239.7	 0	 4
244.9	 1	 5
245.2	 2	 5
245.2	 1	 4
245.5	 0	 4
254.0	 1	 5
254.2	 2	 5
254.3	 1	 4
254.4	 2	 5
254.5	 1	 4
254.6	 2	 5
254.7	 1	 4
254.8	 2	 5
254.9	 1	 4
255.0	 2	 5
255.1	 1	 4
255.2	 2	 5
255.3	 1	 4
255.4	 2	 5
255.5	 1	 4
255.6	 2	 5
255.7	 1	 4
255.8	 2	 5
255.9	 1	 4
256.0	 2	 5
256.1	 1	 4
256.3	 0	 4
273.2	 1	 5
273.5	 2	 5
273.5	 1	 4
273.8	 0	 4
289.9	 1	 5
290.2	 0	 4
339.7	 1	 5
339.8	 2	 5
340.0	 1	 4
340.0	 2	 5
340.2	 1	 4
340.2	 2	 5
340.4	 1	 4
340.4	 2	 5
340.5	 1	 4
