QUE	 (200024, 200023) 
150.2	 1	 5
150.3	 2	 5
150.5	 1	 4
150.7	 0	 4
160.1	 1	 5
160.2	 2	 5
160.3	 1	 4
160.5	 0	 4
216.8	 1	 5
217.0	 2	 5
217.1	 1	 4
217.3	 0	 4
262.9	 1	 5
263.2	 0	 4
274.2	 1	 5
274.5	 0	 4
295.7	 1	 5
295.9	 2	 5
296.0	 1	 4
296.2	 0	 4
296.2	 1	 5
296.5	 0	 4
296.7	 1	 5
296.9	 2	 5
297.0	 1	 4
297.2	 2	 5
297.2	 1	 4
297.5	 2	 5
297.5	 1	 4
297.8	 0	 4
297.9	 1	 5
298.0	 2	 5
298.2	 1	 4
298.4	 2	 5
298.4	 1	 4
298.7	 0	 4
298.7	 1	 5
299.0	 2	 5
299.0	 1	 4
299.3	 0	 4
299.7	 1	 5
299.9	 2	 5
300.0	 3	 5
300.0	 2	 4
300.2	 3	 5
300.2	 2	 4
300.4	 3	 5
300.4	 2	 4
300.5	 1	 4
300.7	 2	 5
300.7	 1	 4
300.9	 2	 5
301.0	 1	 4
301.2	 2	 5
301.2	 1	 4
301.5	 0	 4
324.0	 1	 5
324.3	 0	 4
325.9	 1	 5
326.2	 0	 4
358.7	 1	 5
358.9	 2	 5
359.0	 3	 5
359.0	 2	 4
359.2	 1	 4
359.4	 2	 5
359.4	 1	 4
359.5	 2	 5
359.7	 1	 4
359.9	 0	 4
360.4	 1	 5
360.5	 2	 5
360.7	 1	 4
360.9	 0	 4
440.3	 1	 5
440.6	 0	 4
440.9	 1	 5
441.2	 0	 4
441.3	 1	 5
441.6	 0	 4
441.7	 1	 5
442.0	 0	 4
442.1	 1	 5
442.4	 0	 4
442.9	 1	 5
443.2	 0	 4
443.7	 1	 5
443.9	 2	 5
444.0	 1	 4
444.1	 2	 5
444.2	 1	 4
444.4	 0	 4
445.3	 1	 5
445.6	 0	 4
445.7	 1	 5
446.0	 0	 4
446.1	 1	 5
446.4	 0	 4
446.5	 1	 5
446.7	 2	 5
446.8	 1	 4
447.0	 0	 4
473.6	 1	 5
473.9	 0	 4
479.3	 1	 5
479.6	 0	 4
480.1	 1	 5
480.3	 2	 5
480.4	 1	 4
480.5	 2	 5
480.6	 1	 4
480.7	 2	 5
480.8	 1	 4
480.9	 2	 5
481.0	 1	 4
481.1	 2	 5
481.1	 1	 4
481.3	 2	 5
481.4	 1	 4
481.6	 0	 4
481.9	 1	 5
482.1	 2	 5
482.2	 1	 4
482.4	 0	 4
482.7	 1	 5
482.9	 2	 5
483.0	 1	 4
483.1	 2	 5
483.2	 1	 4
483.4	 0	 4
483.5	 1	 5
483.7	 2	 5
483.8	 1	 4
484.0	 0	 4
484.1	 1	 5
484.3	 2	 5
484.4	 1	 4
484.5	 2	 5
484.6	 1	 4
484.8	 0	 4
484.9	 1	 5
485.2	 0	 4
485.3	 1	 5
485.6	 0	 4
485.9	 1	 5
486.2	 0	 4
493.6	 1	 5
493.9	 0	 4
496.5	 1	 5
496.8	 0	 4
572.9	 1	 5
573.2	 0	 4
585.3	 1	 5
585.6	 0	 4
585.9	 1	 5
586.2	 0	 4
586.3	 1	 5
586.6	 0	 4
