QUE	 (200032, 200028) 
95.1	 1	 5
101.3	 0	 4
152.2	 1	 5
152.5	 0	 4
164.4	 1	 5
164.7	 0	 4
169.1	 1	 5
169.2	 2	 5
169.3	 1	 4
169.5	 0	 4
169.6	 1	 5
169.7	 2	 5
169.8	 1	 4
170.0	 0	 4
170.1	 1	 5
170.2	 2	 5
170.3	 1	 4
170.5	 0	 4
170.6	 1	 5
170.8	 0	 4
170.9	 1	 5
171.1	 2	 5
171.2	 3	 5
171.2	 2	 4
171.3	 1	 4
171.4	 2	 5
171.5	 1	 4
171.7	 2	 5
171.7	 1	 4
172.0	 0	 4
172.1	 1	 5
172.2	 2	 5
172.3	 1	 4
172.4	 2	 5
172.5	 1	 4
172.6	 2	 5
172.7	 1	 4
172.8	 0	 4
174.5	 1	 5
174.7	 0	 4
177.1	 1	 5
177.3	 0	 4
177.4	 1	 5
177.7	 0	 4
183.7	 1	 5
184.0	 0	 4
186.2	 1	 5
186.5	 0	 4
188.9	 1	 5
189.2	 0	 4
189.5	 1	 5
189.7	 0	 4
189.7	 1	 5
190.0	 0	 4
191.6	 1	 5
191.8	 0	 4
193.5	 1	 5
193.7	 0	 4
197.1	 1	 5
197.3	 0	 4
198.6	 1	 5
198.7	 2	 5
199.0	 3	 5
199.4	 4	 5
221.3	 3	 4
221.5	 2	 4
221.7	 1	 4
221.9	 0	 4
227.8	 1	 5
228.1	 0	 4
256.4	 1	 5
256.7	 0	 4
289.2	 1	 5
289.4	 2	 5
289.5	 1	 4
289.6	 2	 5
289.7	 1	 4
289.8	 2	 5
289.9	 3	 5
289.9	 2	 4
290.0	 1	 4
290.1	 2	 5
290.2	 1	 4
290.3	 2	 5
290.4	 3	 5
290.4	 2	 4
290.5	 1	 4
290.6	 2	 5
290.7	 1	 4
290.8	 2	 5
290.9	 3	 5
290.9	 2	 4
291.0	 1	 4
291.1	 2	 5
291.2	 1	 4
291.3	 2	 5
291.4	 3	 5
291.4	 2	 4
291.5	 1	 4
291.6	 2	 5
291.7	 1	 4
291.8	 2	 5
291.9	 3	 5
291.9	 2	 4
292.0	 1	 4
292.2	 0	 4
292.3	 1	 5
292.4	 2	 5
292.5	 1	 4
292.6	 2	 5
292.7	 1	 4
292.8	 2	 5
292.9	 1	 4
293.0	 0	 4
293.1	 1	 5
293.3	 2	 5
293.4	 3	 5
293.4	 2	 4
293.5	 1	 4
293.7	 0	 4
293.8	 1	 5
