QUE	 (20008, 20003) 
58.9	 1	 5
59.2	 0	 4
61.1	 1	 5
61.4	 0	 4
67.2	 1	 5
67.5	 0	 4
74.6	 1	 5
74.8	 2	 5
74.9	 1	 4
75.0	 2	 5
75.1	 1	 4
75.3	 0	 4
76.2	 1	 5
76.5	 0	 4
100.4	 1	 5
122.3	 0	 4
145.1	 1	 5
145.2	 2	 5
145.3	 1	 4
145.5	 0	 4
145.6	 1	 5
145.7	 2	 5
145.8	 1	 4
145.9	 2	 5
146.0	 1	 4
146.1	 2	 5
146.2	 1	 4
146.2	 2	 5
146.3	 1	 4
146.5	 0	 4
155.5	 1	 5
155.7	 0	 4
178.1	 1	 5
178.3	 0	 4
178.4	 1	 5
178.6	 2	 5
178.7	 1	 4
178.8	 0	 4
183.9	 1	 5
184.2	 0	 4
194.5	 1	 5
194.6	 2	 5
194.7	 1	 4
194.8	 0	 4
195.0	 1	 5
195.2	 0	 4
207.2	 1	 5
207.5	 2	 5
218.0	 3	 5
221.9	 4	 5
242.3	 3	 4
242.5	 2	 4
242.7	 1	 4
242.9	 0	 4
265.2	 1	 5
265.4	 2	 5
265.5	 1	 4
265.6	 2	 5
265.7	 1	 4
265.8	 2	 5
265.9	 1	 4
266.0	 0	 4
266.0	 1	 5
266.2	 2	 5
266.3	 1	 4
266.5	 0	 4
266.6	 1	 5
266.8	 2	 5
266.9	 1	 4
267.0	 0	 4
267.0	 1	 5
267.2	 2	 5
267.3	 1	 4
267.4	 2	 5
267.5	 1	 4
267.6	 2	 5
267.7	 1	 4
267.9	 0	 4
268.0	 1	 5
268.3	 0	 4
271.7	 1	 5
272.0	 0	 4
273.4	 1	 5
273.7	 0	 4
281.4	 1	 5
281.6	 2	 5
281.7	 1	 4
281.9	 0	 4
283.9	 1	 5
284.2	 0	 4
287.3	 1	 5
287.5	 0	 4
293.7	 1	 5
294.0	 0	 4
294.2	 1	 5
294.5	 0	 4
298.2	 1	 5
298.5	 0	 4
298.9	 1	 5
299.2	 2	 5
299.2	 1	 4
299.4	 2	 5
299.5	 1	 4
