QUE	 (200054, 200053) 
58.8	 1	 5
59.1	 0	 4
105.4	 1	 5
115.3	 0	 4
129.0	 1	 5
129.2	 0	 4
159.2	 1	 5
185.2	 0	 4
185.5	 1	 5
185.7	 0	 4
198.5	 1	 5
198.7	 0	 4
274.8	 1	 5
275.0	 0	 4
297.9	 1	 5
325.3	 0	 4
339.6	 1	 5
339.9	 0	 4
419.2	 1	 5
419.5	 0	 4
444.9	 1	 5
465.3	 0	 4
543.8	 1	 5
544.1	 0	 4
549.2	 1	 5
549.5	 0	 4
550.6	 1	 5
550.9	 0	 4
605.5	 1	 5
605.8	 0	 4
659.2	 1	 5
675.3	 0	 4
688.8	 1	 5
689.1	 0	 4
707.2	 1	 5
707.5	 0	 4
736.5	 1	 5
745.3	 0	 4
778.0	 1	 5
778.3	 0	 4
779.6	 1	 5
779.9	 0	 4
780.4	 1	 5
780.7	 0	 4
829.6	 1	 5
829.9	 0	 4
830.4	 1	 5
830.7	 0	 4
868.6	 1	 5
885.3	 0	 4
899.2	 1	 5
899.5	 0	 4
901.8	 1	 5
902.0	 2	 5
902.1	 1	 4
902.3	 0	 4
902.8	 1	 5
903.1	 0	 4
1010.2	 1	 5
1025.3	 0	 4
1033.3	 1	 5
1033.6	 0	 4
1043.0	 1	 5
1043.3	 0	 4
1044.4	 1	 5
1044.7	 0	 4
1078.6	 1	 5
1095.3	 0	 4
1138.4	 1	 5
1141.2	 2	 5
1142.2	 3	 5
1165.3	 2	 4
1165.5	 1	 4
1165.7	 0	 4
1187.2	 1	 5
1187.5	 0	 4
