QUE	 (100074, 100072) 
6.6	 1	 1
13.1	 2	 1
13.1	 3	 1
18.7	 4	 1
26.2	 5	 1
28.2	 6	 1
33.1	 7	 1
42.4	 8	 1
45.1	 9	 1
48.7	 10	 1
55.2	 11	 1
59.4	 12	 1
60.1	 13	 1
68.3	 14	 1
86.3	 13	 4
86.5	 12	 4
86.7	 11	 4
86.9	 10	 4
87.1	 9	 4
87.3	 8	 4
87.5	 7	 4
87.7	 6	 4
87.9	 5	 4
88.1	 4	 4
88.3	 3	 4
88.5	 2	 4
88.7	 1	 4
88.9	 0	 4
89.0	 1	 1
89.3	 0	 4
91.3	 1	 1
91.6	 0	 4
100.6	 1	 1
100.9	 0	 4
105.7	 1	 1
106.0	 0	 4
110.0	 1	 1
110.3	 0	 4
114.6	 1	 1
114.9	 0	 4
119.3	 1	 1
137.3	 2	 1
137.9	 3	 1
144.1	 4	 1
146.5	 5	 1
149.8	 6	 1
150.5	 7	 1
152.3	 8	 1
158.4	 9	 1
162.1	 10	 1
174.3	 11	 1
179.7	 12	 1
187.1	 13	 1
188.9	 14	 1
192.4	 15	 1
201.2	 16	 1
201.9	 17	 1
206.3	 16	 4
206.5	 15	 4
206.7	 14	 4
206.9	 13	 4
207.1	 12	 4
207.3	 11	 4
207.5	 10	 4
207.7	 9	 4
207.9	 8	 4
208.1	 7	 4
208.3	 6	 4
208.5	 5	 4
208.7	 4	 4
208.8	 5	 1
208.9	 4	 4
209.1	 3	 4
209.3	 2	 4
209.5	 1	 4
209.7	 0	 4
213.9	 1	 1
214.2	 0	 4
216.1	 1	 1
216.4	 0	 4
231.4	 1	 1
231.7	 0	 4
256.3	 1	 1
278.7	 2	 1
280.8	 3	 1
284.0	 4	 1
286.1	 5	 1
287.4	 6	 1
287.7	 7	 1
303.4	 8	 1
310.2	 9	 1
324.1	 10	 1
326.3	 9	 4
326.5	 8	 4
326.7	 7	 4
326.9	 6	 4
327.0	 5	 4
327.2	 4	 4
327.4	 3	 4
327.5	 2	 4
327.7	 1	 4
327.9	 0	 4
330.6	 1	 1
330.9	 0	 4
350.3	 1	 1
350.5	 0	 4
356.7	 1	 1
357.0	 0	 4
362.6	 1	 1
371.6	 2	 1
378.1	 3	 1
381.4	 4	 1
386.4	 5	 1
390.1	 6	 1
391.7	 7	 1
409.7	 8	 1
434.4	 9	 1
446.3	 8	 4
446.5	 7	 4
446.7	 6	 4
446.9	 5	 4
447.1	 4	 4
447.3	 3	 4
447.5	 2	 4
447.7	 1	 4
447.9	 0	 4
450.1	 1	 1
450.4	 0	 4
451.4	 1	 1
451.7	 0	 4
465.2	 1	 1
465.2	 2	 1
465.5	 1	 4
465.7	 2	 1
465.7	 1	 4
466.0	 0	 4
478.2	 1	 1
478.5	 0	 4
500.3	 1	 1
507.5	 2	 1
513.5	 3	 1
544.3	 4	 1
547.8	 5	 1
547.9	 6	 1
549.3	 7	 1
553.9	 8	 1
554.7	 9	 1
564.6	 10	 1
566.3	 9	 4
566.5	 8	 4
566.7	 7	 4
566.9	 6	 4
567.1	 5	 4
567.3	 4	 4
567.5	 3	 4
567.7	 2	 4
567.9	 1	 4
568.1	 0	 4
571.1	 1	 1
571.4	 0	 4
582.6	 1	 1
582.9	 0	 4
588.0	 1	 1
588.3	 0	 4
588.5	 1	 1
588.8	 0	 4
592.2	 1	 1
592.5	 0	 4
594.8	 1	 1
595.1	 0	 4
607.1	 1	 1
625.8	 2	 1
638.3	 3	 1
638.7	 4	 1
641.7	 5	 1
661.3	 6	 1
686.3	 5	 4
686.5	 4	 4
686.7	 3	 4
686.9	 2	 4
687.1	 1	 4
687.3	 0	 4
695.9	 1	 1
696.2	 0	 4
699.9	 1	 1
700.2	 0	 4
706.2	 1	 1
706.5	 0	 4
711.4	 1	 1
711.7	 0	 4
719.6	 1	 1
722.6	 2	 1
725.8	 3	 1
727.7	 4	 1
727.8	 5	 1
738.3	 6	 1
751.5	 7	 1
806.3	 6	 4
806.5	 5	 4
806.7	 4	 4
806.9	 3	 4
807.1	 2	 4
807.3	 1	 4
807.5	 0	 4
837.5	 1	 1
837.8	 2	 1
837.8	 1	 4
838.1	 0	 4
841.5	 1	 1
847.3	 2	 1
859.8	 3	 1
862.0	 4	 1
863.1	 5	 1
873.2	 6	 1
880.7	 7	 1
885.2	 8	 1
892.6	 9	 1
901.1	 10	 1
902.5	 11	 1
926.3	 10	 4
926.5	 9	 4
926.7	 8	 4
926.9	 7	 4
927.1	 6	 4
927.3	 5	 4
927.5	 4	 4
927.7	 3	 4
927.9	 2	 4
928.1	 1	 4
928.3	 0	 4
952.9	 1	 1
953.2	 2	 1
953.2	 1	 4
953.5	 0	 4
958.0	 1	 1
958.3	 0	 4
968.4	 1	 1
970.3	 2	 1
972.5	 3	 1
986.5	 4	 1
1014.7	 5	 1
1018.3	 6	 1
1020.2	 7	 1
1026.7	 8	 1
1028.2	 9	 1
1029.4	 10	 1
1040.0	 11	 1
1042.9	 12	 1
1045.2	 13	 1
1046.3	 12	 4
1046.5	 11	 4
1046.7	 10	 4
1046.9	 9	 4
1047.1	 8	 4
1047.3	 7	 4
1047.5	 6	 4
1047.7	 5	 4
1047.9	 4	 4
1048.1	 3	 4
1048.3	 2	 4
1048.5	 1	 4
1048.7	 0	 4
1057.4	 1	 1
1057.7	 0	 4
1057.8	 1	 1
1058.1	 0	 4
1061.6	 1	 1
1061.9	 0	 4
1071.0	 1	 1
1071.3	 0	 4
1075.8	 1	 1
1076.1	 0	 4
