QUE	 (100067, 100032) 
11.1	 1	 1
79.3	 0	 4
106.9	 1	 1
140.4	 2	 1
188.6	 3	 1
199.2	 2	 4
199.3	 1	 4
199.5	 0	 4
322.3	 1	 1
322.5	 0	 4
563.2	 1	 1
563.5	 0	 4
623.5	 1	 1
655.4	 2	 1
679.3	 1	 4
679.5	 0	 4
701.0	 1	 1
742.7	 2	 1
799.3	 1	 4
799.5	 0	 4
832.3	 1	 1
919.3	 0	 4
1004.6	 1	 1
1011.6	 2	 1
1039.3	 1	 4
1039.5	 0	 4
1052.2	 1	 1
1052.5	 0	 4
1061.1	 1	 1
1067.4	 2	 1
1123.8	 3	 1
1140.3	 4	 1
1141.5	 5	 1
1143.2	 6	 1
1159.3	 5	 4
1159.5	 4	 4
1159.7	 3	 4
1159.9	 2	 4
1160.1	 1	 4
1160.3	 0	 4
1183.9	 1	 1
