QUE	 (10003, 10008) 
28.4	 1	 5
28.7	 0	 4
50.0	 1	 5
50.2	 2	 5
50.3	 1	 4
50.4	 2	 5
50.5	 1	 4
50.6	 2	 5
50.7	 1	 4
50.8	 2	 5
50.9	 1	 4
51.0	 2	 5
51.1	 1	 4
51.3	 0	 4
64.5	 1	 5
64.8	 0	 4
71.3	 1	 5
71.6	 0	 4
77.6	 1	 5
77.8	 2	 5
77.9	 1	 4
78.0	 2	 5
78.1	 1	 4
78.2	 2	 5
78.4	 3	 5
83.1	 4	 5
88.4	 5	 5
92.5	 6	 5
105.5	 7	 5
120.0	 8	 5
120.2	 9	 5
120.4	 10	 5
120.6	 11	 5
122.3	 10	 4
122.5	 9	 4
122.7	 8	 4
122.9	 7	 4
123.1	 6	 4
123.3	 5	 4
123.5	 4	 4
123.7	 3	 4
123.9	 2	 4
124.1	 1	 4
124.3	 0	 4
141.2	 1	 5
141.5	 0	 4
147.5	 1	 5
147.7	 0	 4
147.9	 1	 5
148.2	 0	 4
148.2	 1	 5
148.4	 2	 5
148.5	 1	 4
148.5	 2	 5
148.7	 1	 4
148.8	 0	 4
148.8	 1	 5
149.1	 0	 4
151.3	 1	 5
151.6	 0	 4
154.5	 1	 5
154.7	 0	 4
156.8	 1	 5
157.1	 0	 4
159.9	 1	 5
160.2	 0	 4
189.9	 1	 5
190.0	 2	 5
190.2	 1	 4
190.2	 2	 5
190.3	 1	 4
190.4	 2	 5
190.5	 1	 4
190.5	 2	 5
190.7	 1	 4
190.7	 2	 5
190.8	 1	 4
190.9	 2	 5
191.0	 1	 4
191.0	 2	 5
191.2	 1	 4
191.3	 0	 4
198.4	 1	 5
209.0	 2	 5
212.4	 3	 5
217.6	 4	 5
217.8	 5	 5
218.0	 6	 5
218.2	 7	 5
218.4	 8	 5
218.6	 9	 5
219.1	 10	 5
220.8	 11	 5
223.4	 12	 5
230.0	 13	 5
232.5	 14	 5
242.3	 13	 4
242.5	 12	 4
242.7	 11	 4
242.9	 10	 4
243.1	 9	 4
243.3	 8	 4
243.5	 7	 4
243.7	 6	 4
243.9	 5	 4
244.1	 4	 4
244.3	 3	 4
244.5	 2	 4
244.7	 1	 4
244.9	 0	 4
260.0	 1	 5
260.2	 2	 5
260.3	 1	 4
260.4	 2	 5
260.5	 1	 4
260.6	 2	 5
260.7	 1	 4
260.8	 2	 5
260.9	 1	 4
261.0	 0	 4
261.0	 1	 5
261.2	 2	 5
261.3	 1	 4
261.4	 2	 5
261.5	 1	 4
261.7	 0	 4
261.8	 1	 5
262.0	 0	 4
269.2	 1	 5
269.5	 0	 4
280.0	 1	 5
280.3	 0	 4
287.6	 1	 5
287.7	 2	 5
287.9	 1	 4
288.0	 2	 5
288.0	 1	 4
288.2	 2	 5
288.3	 1	 4
288.4	 2	 5
288.5	 1	 4
288.7	 0	 4
290.2	 1	 5
290.5	 0	 4
291.7	 1	 5
292.0	 0	 4
294.7	 1	 5
295.0	 0	 4
300.0	 1	 5
300.3	 0	 4
319.1	 1	 5
330.0	 2	 5
330.2	 3	 5
330.6	 4	 5
330.7	 5	 5
330.9	 6	 5
331.1	 7	 5
341.6	 8	 5
357.1	 9	 5
357.6	 10	 5
357.7	 11	 5
358.0	 12	 5
358.2	 13	 5
358.4	 14	 5
358.6	 15	 5
358.9	 16	 5
359.1	 17	 5
359.2	 18	 5
359.4	 19	 5
359.6	 20	 5
362.3	 19	 4
362.5	 18	 4
362.7	 17	 4
362.9	 16	 4
363.0	 15	 4
363.2	 14	 4
363.4	 13	 4
363.5	 12	 4
363.7	 11	 4
363.9	 10	 4
364.0	 9	 4
364.2	 8	 4
364.4	 7	 4
364.5	 6	 4
364.7	 5	 4
364.9	 4	 4
365.0	 3	 4
365.2	 2	 4
365.4	 1	 4
365.5	 0	 4
366.5	 1	 5
366.8	 0	 4
400.0	 1	 5
400.3	 0	 4
400.4	 1	 5
400.6	 2	 5
400.7	 3	 5
400.7	 2	 4
400.9	 3	 5
400.9	 2	 4
401.0	 1	 4
401.1	 2	 5
401.2	 3	 5
401.2	 2	 4
401.4	 1	 4
401.5	 0	 4
401.6	 1	 5
401.7	 2	 5
401.9	 3	 5
401.9	 2	 4
402.0	 1	 4
402.2	 0	 4
409.1	 1	 5
409.4	 0	 4
420.1	 1	 5
420.4	 0	 4
