QUE	 (100074, 200034) 
18.6	 1	 1
26.8	 2	 1
38.8	 3	 1
61.7	 4	 1
66.5	 5	 1
72.3	 4	 4
72.5	 3	 4
72.7	 2	 4
72.9	 1	 4
73.1	 0	 4
88.3	 1	 1
122.5	 2	 1
134.9	 3	 1
137.3	 4	 1
182.5	 5	 1
187.3	 6	 1
192.2	 5	 4
192.3	 4	 4
192.5	 3	 4
192.7	 2	 4
192.8	 1	 4
193.0	 0	 4
233.2	 1	 1
263.4	 2	 1
284.8	 3	 1
304.1	 4	 1
308.5	 5	 1
312.3	 4	 4
312.5	 3	 4
312.7	 2	 4
312.9	 1	 4
313.0	 0	 4
368.7	 1	 1
383.3	 2	 1
386.6	 3	 1
389.7	 4	 1
391.7	 5	 1
392.8	 6	 1
432.3	 5	 4
432.5	 4	 4
432.7	 3	 4
432.9	 2	 4
433.1	 1	 4
433.3	 0	 4
447.5	 1	 1
484.1	 2	 1
488.5	 3	 1
495.0	 4	 1
525.0	 5	 1
552.3	 4	 4
552.5	 3	 4
552.7	 2	 4
552.9	 1	 4
553.1	 0	 4
563.8	 1	 1
564.1	 0	 4
576.4	 1	 1
576.7	 2	 1
583.9	 3	 1
672.3	 2	 4
672.5	 1	 4
672.7	 0	 4
752.0	 1	 1
756.9	 2	 1
760.2	 3	 1
792.3	 2	 4
792.5	 1	 4
792.7	 0	 4
828.7	 1	 1
839.6	 2	 1
847.0	 3	 1
855.8	 4	 1
879.2	 5	 1
892.5	 6	 1
912.3	 5	 4
912.5	 4	 4
912.7	 3	 4
912.9	 2	 4
913.1	 1	 4
913.3	 0	 4
917.4	 1	 1
917.7	 0	 4
940.3	 1	 1
950.1	 2	 1
951.1	 3	 1
984.1	 4	 1
988.3	 5	 1
990.2	 6	 1
1004.6	 7	 1
1015.6	 8	 1
1032.3	 7	 4
1032.5	 6	 4
1032.7	 5	 4
1032.9	 4	 4
1033.1	 3	 4
1033.3	 2	 4
1033.5	 1	 4
1033.7	 0	 4
1041.4	 1	 1
1041.7	 0	 4
1044.9	 1	 1
1045.1	 0	 4
1111.6	 1	 1
1135.1	 2	 1
1135.5	 3	 1
1152.3	 2	 4
1152.5	 1	 4
1152.7	 0	 4
1172.8	 1	 1
1199.5	 2	 1
