QUE	 (100011, 100043) 
45.3	 1	 5
63.0	 2	 5
73.3	 1	 4
73.5	 0	 4
82.5	 1	 5
82.7	 2	 5
82.8	 1	 4
83.0	 0	 4
154.1	 1	 5
154.3	 2	 5
154.4	 3	 5
154.7	 4	 5
180.4	 5	 5
180.6	 6	 5
180.8	 7	 5
193.2	 6	 4
193.3	 5	 4
193.5	 4	 4
193.7	 3	 4
193.8	 2	 4
194.0	 1	 4
194.2	 0	 4
222.0	 1	 5
223.2	 2	 5
223.4	 3	 5
251.2	 4	 5
280.4	 5	 5
313.3	 4	 4
313.5	 3	 4
313.7	 2	 4
313.9	 1	 4
314.0	 0	 4
319.8	 1	 5
320.0	 0	 4
323.8	 1	 5
324.0	 0	 4
340.0	 1	 5
396.8	 2	 5
397.3	 3	 5
432.9	 4	 5
433.1	 5	 5
433.3	 4	 4
433.5	 5	 5
433.5	 4	 4
433.7	 3	 4
433.9	 4	 5
433.9	 3	 4
434.1	 2	 4
434.3	 1	 4
434.5	 0	 4
452.2	 1	 5
452.5	 0	 4
499.7	 1	 5
514.1	 2	 5
514.7	 3	 5
514.9	 4	 5
516.5	 5	 5
530.9	 6	 5
531.9	 7	 5
536.4	 8	 5
538.5	 9	 5
553.3	 8	 4
553.5	 7	 4
553.7	 6	 4
553.9	 5	 4
554.1	 4	 4
554.3	 3	 4
554.5	 2	 4
554.7	 1	 4
554.9	 0	 4
624.7	 1	 5
634.5	 2	 5
635.3	 3	 5
635.5	 4	 5
664.1	 5	 5
664.9	 6	 5
673.3	 5	 4
673.5	 4	 4
673.7	 3	 4
673.9	 2	 4
674.1	 1	 4
674.3	 0	 4
755.3	 1	 5
755.7	 2	 5
782.9	 3	 5
793.3	 2	 4
793.5	 1	 4
793.7	 0	 4
809.7	 1	 5
810.0	 0	 4
874.7	 1	 5
875.1	 2	 5
875.5	 3	 5
879.9	 4	 5
899.4	 5	 5
913.3	 4	 4
913.5	 3	 4
913.7	 2	 4
913.9	 1	 4
914.1	 0	 4
917.2	 1	 5
917.5	 0	 4
922.3	 1	 5
922.6	 0	 4
949.7	 1	 5
994.3	 2	 5
995.5	 3	 5
1013.6	 4	 5
1020.7	 5	 5
1033.3	 4	 4
1033.5	 3	 4
1033.7	 2	 4
1033.9	 1	 4
1034.1	 0	 4
1062.5	 1	 5
1114.5	 2	 5
1114.9	 3	 5
1115.1	 4	 5
1123.0	 5	 5
1132.3	 6	 5
1153.3	 5	 4
1153.5	 4	 4
1153.7	 3	 4
1153.9	 2	 4
1154.1	 1	 4
1154.3	 0	 4
1160.3	 1	 5
1160.6	 0	 4
1163.3	 1	 5
1163.6	 0	 4
1175.7	 1	 5
1176.0	 0	 4
