QUE	 (200020, 200017) 
28.5	 1	 5
54.3	 0	 4
109.5	 1	 5
117.7	 2	 5
124.0	 3	 5
174.2	 2	 4
174.3	 1	 4
174.5	 0	 4
202.4	 1	 5
202.7	 0	 4
215.0	 1	 5
215.3	 0	 4
219.5	 1	 5
237.3	 2	 5
268.0	 3	 5
279.0	 4	 5
294.3	 3	 4
294.5	 2	 4
294.7	 1	 4
294.9	 0	 4
350.1	 1	 5
350.3	 2	 5
351.8	 3	 5
387.1	 4	 5
392.8	 5	 5
414.3	 4	 4
414.5	 3	 4
414.6	 4	 5
414.7	 3	 4
414.9	 2	 4
415.0	 3	 5
415.1	 2	 4
415.2	 3	 5
415.3	 4	 5
415.3	 3	 4
415.5	 2	 4
415.7	 1	 4
415.8	 2	 5
415.9	 1	 4
416.1	 0	 4
416.2	 1	 5
416.5	 2	 5
416.5	 1	 4
416.8	 2	 5
416.8	 1	 4
417.1	 0	 4
417.2	 1	 5
417.3	 2	 5
417.5	 1	 4
417.7	 0	 4
461.5	 1	 5
470.1	 2	 5
470.3	 3	 5
470.5	 4	 5
470.7	 5	 5
471.1	 6	 5
471.3	 7	 5
471.5	 8	 5
473.3	 9	 5
484.0	 10	 5
488.7	 11	 5
512.0	 12	 5
534.3	 11	 4
534.5	 10	 4
534.7	 9	 4
534.9	 8	 4
535.1	 7	 4
535.3	 6	 4
535.5	 5	 4
535.7	 4	 4
535.9	 3	 4
536.1	 2	 4
536.3	 1	 4
536.5	 0	 4
579.7	 1	 5
590.3	 2	 5
590.5	 3	 5
591.5	 4	 5
591.7	 5	 5
592.1	 6	 5
592.3	 7	 5
592.9	 8	 5
593.1	 9	 5
593.3	 10	 5
593.5	 11	 5
593.7	 12	 5
593.9	 13	 5
594.1	 14	 5
594.3	 15	 5
595.1	 16	 5
595.3	 17	 5
596.1	 18	 5
596.5	 19	 5
596.7	 20	 5
596.9	 21	 5
597.1	 22	 5
597.3	 23	 5
621.8	 24	 5
627.1	 25	 5
654.3	 24	 4
654.5	 23	 4
654.7	 22	 4
654.9	 21	 4
655.1	 20	 4
655.3	 19	 4
655.5	 18	 4
655.7	 17	 4
655.9	 16	 4
656.1	 15	 4
656.3	 14	 4
656.5	 13	 4
656.7	 12	 4
656.9	 11	 4
657.1	 10	 4
657.3	 9	 4
657.5	 8	 4
657.7	 7	 4
657.9	 6	 4
658.1	 5	 4
658.3	 4	 4
658.5	 3	 4
658.7	 2	 4
658.9	 1	 4
659.1	 0	 4
661.6	 1	 5
661.9	 0	 4
677.8	 1	 5
678.1	 0	 4
686.2	 1	 5
686.5	 0	 4
689.9	 1	 5
690.2	 0	 4
691.1	 1	 5
691.4	 0	 4
710.1	 1	 5
710.3	 2	 5
710.5	 3	 5
710.9	 4	 5
711.3	 5	 5
711.7	 6	 5
711.9	 7	 5
712.1	 8	 5
712.3	 9	 5
713.1	 10	 5
713.3	 11	 5
713.5	 12	 5
713.7	 13	 5
714.1	 14	 5
714.5	 15	 5
715.3	 16	 5
718.8	 17	 5
731.6	 18	 5
745.5	 19	 5
774.3	 18	 4
774.5	 17	 4
774.7	 16	 4
774.9	 15	 4
775.1	 14	 4
775.3	 13	 4
775.5	 12	 4
775.7	 11	 4
775.9	 10	 4
776.1	 9	 4
776.2	 10	 5
776.3	 9	 4
776.5	 8	 4
776.7	 7	 4
776.9	 6	 4
777.1	 5	 4
777.3	 4	 4
777.5	 3	 4
777.7	 2	 4
777.9	 1	 4
778.1	 0	 4
830.1	 1	 5
830.5	 2	 5
830.9	 3	 5
831.3	 4	 5
831.9	 5	 5
832.1	 6	 5
832.3	 7	 5
832.3	 8	 5
832.5	 9	 5
832.7	 10	 5
832.9	 11	 5
833.1	 12	 5
833.3	 13	 5
833.5	 14	 5
833.9	 15	 5
834.1	 16	 5
834.3	 17	 5
834.9	 18	 5
835.1	 19	 5
835.3	 20	 5
835.7	 21	 5
835.9	 22	 5
837.7	 23	 5
845.9	 24	 5
850.4	 25	 5
867.2	 26	 5
894.3	 25	 4
894.5	 24	 4
894.6	 25	 5
894.7	 24	 4
894.8	 25	 5
894.9	 24	 4
895.0	 25	 5
895.1	 24	 4
895.2	 25	 5
895.3	 24	 4
895.5	 23	 4
895.6	 24	 5
895.7	 23	 4
895.8	 24	 5
895.9	 23	 4
896.0	 24	 5
896.1	 23	 4
896.3	 22	 4
896.5	 21	 4
896.7	 20	 4
896.9	 19	 4
897.1	 18	 4
897.3	 17	 4
897.5	 16	 4
897.7	 15	 4
897.9	 14	 4
898.1	 13	 4
898.3	 12	 4
898.5	 11	 4
898.7	 10	 4
898.9	 9	 4
899.1	 8	 4
899.3	 7	 4
899.5	 6	 4
899.7	 5	 4
899.9	 4	 4
900.1	 3	 4
900.3	 2	 4
900.5	 1	 4
900.7	 0	 4
912.3	 1	 5
912.6	 0	 4
943.5	 1	 5
1013.2	 2	 5
1014.3	 1	 4
1014.5	 0	 4
1014.6	 1	 5
1014.8	 2	 5
1014.9	 1	 4
1015.0	 2	 5
1015.1	 1	 4
1015.2	 2	 5
1015.3	 1	 4
1015.4	 2	 5
1015.5	 1	 4
1015.6	 2	 5
1015.7	 1	 4
1015.8	 2	 5
1015.9	 1	 4
1016.0	 2	 5
1016.1	 1	 4
1016.3	 0	 4
1016.4	 1	 5
1016.6	 2	 5
1016.7	 1	 4
1016.8	 2	 5
1016.9	 1	 4
1017.0	 2	 5
1017.1	 1	 4
1017.2	 2	 5
1017.3	 1	 4
1017.4	 2	 5
1017.5	 1	 4
1017.6	 2	 5
1017.7	 1	 4
1017.8	 2	 5
1017.9	 1	 4
1018.0	 2	 5
1018.1	 1	 4
1018.2	 2	 5
1018.3	 1	 4
1018.4	 2	 5
1018.5	 1	 4
1018.7	 0	 4
1018.8	 1	 5
1019.0	 2	 5
1019.1	 1	 4
1019.2	 2	 5
1019.3	 1	 4
1019.4	 2	 5
1019.5	 1	 4
1019.6	 2	 5
1019.7	 1	 4
1019.8	 2	 5
1019.9	 1	 4
1020.0	 2	 5
1020.1	 1	 4
1020.2	 2	 5
1020.3	 1	 4
1020.4	 2	 5
1020.5	 1	 4
1020.6	 2	 5
1020.7	 1	 4
1020.8	 2	 5
1020.9	 1	 4
1021.0	 2	 5
1021.1	 1	 4
1021.3	 0	 4
1070.1	 1	 5
1070.3	 2	 5
1118.1	 3	 5
1134.3	 2	 4
1134.5	 1	 4
1134.6	 2	 5
1134.7	 1	 4
1134.9	 0	 4
1135.0	 1	 5
1135.2	 2	 5
1135.3	 1	 4
1135.5	 0	 4
1135.6	 1	 5
1135.8	 2	 5
1135.9	 1	 4
1136.0	 2	 5
1136.1	 1	 4
1136.3	 0	 4
1136.4	 1	 5
1136.6	 2	 5
1136.7	 1	 4
1136.9	 0	 4
1137.0	 1	 5
1137.2	 2	 5
1137.3	 1	 4
1137.4	 2	 5
1137.5	 1	 4
1137.6	 2	 5
1137.7	 1	 4
1137.8	 2	 5
1137.9	 1	 4
1138.0	 2	 5
1138.1	 1	 4
1138.2	 2	 5
1138.3	 1	 4
1138.4	 2	 5
1138.5	 1	 4
1138.7	 0	 4
1139.0	 1	 5
1139.2	 2	 5
1139.3	 1	 4
1139.4	 2	 5
1139.5	 1	 4
1139.7	 0	 4
1139.8	 1	 5
1140.0	 2	 5
1140.1	 1	 4
1140.2	 2	 5
1140.3	 1	 4
1140.5	 0	 4
1190.3	 1	 5
1190.5	 2	 5
1190.9	 3	 5
1191.1	 4	 5
1191.3	 5	 5
1191.5	 6	 5
1191.7	 7	 5
1192.1	 8	 5
1192.3	 9	 5
1192.5	 10	 5
1192.7	 11	 5
1193.1	 12	 5
1193.5	 13	 5
