QUE	 (100024, 100028) 
84.1	 1	 5
123.4	 2	 5
145.2	 1	 4
145.3	 0	 4
204.0	 1	 5
204.2	 2	 5
204.2	 1	 4
204.3	 2	 5
204.5	 3	 5
204.5	 2	 4
204.7	 1	 4
204.9	 0	 4
243.0	 1	 5
243.5	 2	 5
248.5	 3	 5
290.3	 2	 4
290.5	 1	 4
290.7	 0	 4
324.0	 1	 5
324.3	 2	 5
324.3	 1	 4
324.5	 0	 4
324.7	 1	 5
324.9	 2	 5
325.0	 1	 4
325.2	 0	 4
362.8	 1	 5
363.5	 2	 5
363.7	 3	 5
369.8	 4	 5
435.3	 3	 4
435.5	 2	 4
435.7	 1	 4
435.9	 0	 4
444.1	 1	 5
444.3	 2	 5
444.4	 1	 4
444.5	 2	 5
444.6	 1	 4
444.7	 2	 5
444.8	 1	 4
444.9	 2	 5
445.0	 1	 4
445.2	 0	 4
454.7	 1	 5
455.0	 0	 4
483.8	 1	 5
484.1	 0	 4
487.0	 1	 5
487.3	 0	 4
564.1	 1	 5
564.3	 2	 5
564.5	 3	 5
564.7	 4	 5
580.3	 3	 4
580.5	 2	 4
580.7	 1	 4
580.9	 0	 4
684.1	 1	 5
684.3	 2	 5
684.5	 3	 5
684.7	 4	 5
684.9	 5	 5
688.9	 6	 5
725.3	 5	 4
725.5	 4	 4
725.7	 3	 4
725.9	 2	 4
726.1	 1	 4
726.3	 0	 4
804.1	 1	 5
804.5	 2	 5
804.7	 3	 5
804.9	 4	 5
805.1	 5	 5
805.3	 6	 5
805.5	 7	 5
805.7	 8	 5
806.1	 9	 5
809.3	 10	 5
823.4	 11	 5
843.0	 12	 5
870.3	 11	 4
870.5	 10	 4
870.7	 9	 4
870.9	 8	 4
871.1	 7	 4
871.3	 6	 4
871.5	 5	 4
871.7	 4	 4
871.9	 3	 4
872.1	 2	 4
872.3	 1	 4
872.5	 0	 4
924.1	 1	 5
924.3	 2	 5
924.4	 1	 4
924.5	 2	 5
924.6	 1	 4
924.7	 2	 5
924.8	 1	 4
924.9	 2	 5
925.0	 1	 4
925.1	 2	 5
925.2	 1	 4
925.4	 0	 4
962.8	 1	 5
963.0	 2	 5
963.2	 3	 5
964.2	 4	 5
964.6	 5	 5
1015.3	 4	 4
1015.5	 3	 4
1015.7	 2	 4
1015.9	 1	 4
1016.1	 0	 4
1044.1	 1	 5
1044.3	 2	 5
1044.4	 1	 4
1044.5	 2	 5
1044.6	 1	 4
1044.7	 2	 5
1044.8	 1	 4
1044.9	 2	 5
1045.0	 1	 4
1045.1	 2	 5
1045.2	 1	 4
1045.3	 2	 5
1045.4	 1	 4
1045.5	 2	 5
1045.6	 1	 4
1045.7	 2	 5
1045.8	 1	 4
1045.9	 2	 5
1046.0	 1	 4
1046.1	 2	 5
1046.2	 1	 4
1046.3	 2	 5
1046.4	 1	 4
1046.5	 2	 5
1046.6	 1	 4
1046.8	 0	 4
1059.6	 1	 5
1059.9	 0	 4
1082.8	 1	 5
1083.0	 2	 5
1083.2	 3	 5
1083.6	 4	 5
1084.6	 5	 5
1085.0	 6	 5
1160.3	 5	 4
1160.5	 4	 4
1160.7	 3	 4
1160.9	 2	 4
1161.1	 1	 4
1161.3	 0	 4
1164.1	 1	 5
1164.3	 2	 5
1164.4	 1	 4
1164.5	 2	 5
1164.6	 1	 4
1164.7	 2	 5
1164.8	 1	 4
1164.9	 2	 5
1165.0	 1	 4
1165.1	 2	 5
1165.2	 1	 4
1165.3	 2	 5
1165.4	 1	 4
1165.5	 2	 5
1165.6	 1	 4
1165.7	 2	 5
1165.8	 1	 4
1166.0	 0	 4
