QUE	 (100057, 10003) 
80.5	 1	 1
80.8	 0	 4
109.3	 1	 1
148.2	 0	 4
193.5	 1	 1
218.3	 0	 4
220.5	 1	 1
220.8	 0	 4
260.3	 1	 1
288.3	 0	 4
307.1	 1	 1
307.4	 0	 4
424.6	 1	 1
428.3	 0	 4
436.7	 1	 1
437.0	 0	 4
456.1	 1	 1
456.4	 0	 4
507.6	 1	 1
507.9	 0	 4
518.2	 1	 1
518.5	 0	 4
531.0	 1	 1
568.3	 0	 4
594.2	 1	 1
594.5	 0	 4
628.3	 1	 1
638.3	 0	 4
643.1	 1	 1
643.4	 0	 4
688.7	 1	 1
708.3	 0	 4
720.2	 1	 1
720.5	 0	 4
742.9	 1	 1
778.3	 0	 4
815.2	 1	 1
834.9	 2	 1
835.0	 3	 1
842.5	 4	 1
847.6	 5	 1
848.3	 4	 4
848.5	 3	 4
848.7	 2	 4
848.9	 1	 4
849.1	 0	 4
855.3	 1	 1
855.6	 0	 4
915.7	 1	 1
918.3	 0	 4
1018.3	 1	 1
1058.3	 0	 4
1127.7	 1	 1
1128.3	 0	 4
1136.1	 1	 1
1136.4	 0	 4
1137.4	 1	 1
1137.7	 0	 4
1148.7	 1	 1
1149.0	 0	 4
