QUE	 (200014, 200011) 
109.5	 1	 5
109.7	 2	 5
109.8	 1	 4
109.9	 2	 5
110.0	 1	 4
110.1	 2	 5
110.2	 1	 4
110.3	 2	 5
110.4	 1	 4
110.5	 2	 5
110.6	 1	 4
110.8	 0	 4
146.1	 1	 5
146.3	 0	 4
146.3	 1	 5
146.5	 2	 5
146.6	 1	 4
146.7	 0	 4
151.8	 1	 5
152.1	 0	 4
154.0	 1	 5
154.2	 0	 4
167.5	 1	 5
178.4	 2	 5
181.5	 3	 5
216.3	 2	 4
216.5	 1	 4
216.7	 0	 4
229.4	 1	 5
229.6	 2	 5
229.7	 1	 4
229.8	 2	 5
229.9	 1	 4
230.0	 2	 5
230.1	 1	 4
230.3	 0	 4
230.6	 1	 5
230.8	 2	 5
230.9	 1	 4
231.0	 2	 5
231.1	 1	 4
231.2	 2	 5
231.3	 1	 4
231.5	 0	 4
232.4	 1	 5
232.7	 0	 4
241.3	 1	 5
241.6	 0	 4
249.5	 1	 5
249.8	 0	 4
261.6	 1	 5
261.9	 0	 4
262.1	 1	 5
262.4	 0	 4
266.1	 1	 5
266.4	 0	 4
266.9	 1	 5
267.1	 2	 5
267.2	 1	 4
267.3	 2	 5
267.4	 1	 4
267.5	 0	 4
273.6	 1	 5
273.9	 0	 4
277.2	 1	 5
277.5	 0	 4
280.7	 1	 5
281.0	 0	 4
299.6	 1	 5
336.3	 0	 4
349.5	 1	 5
349.8	 0	 4
349.9	 1	 5
350.1	 2	 5
350.2	 3	 5
350.2	 2	 4
350.4	 3	 5
350.4	 2	 4
350.5	 1	 4
350.7	 0	 4
359.2	 1	 5
359.5	 0	 4
373.7	 1	 5
374.0	 0	 4
385.0	 1	 5
385.3	 0	 4
386.1	 1	 5
386.2	 2	 5
386.4	 1	 4
386.5	 0	 4
386.5	 1	 5
386.7	 2	 5
386.8	 1	 4
386.9	 2	 5
387.0	 1	 4
387.1	 2	 5
387.2	 1	 4
387.4	 0	 4
388.1	 1	 5
388.4	 0	 4
389.0	 1	 5
389.3	 0	 4
392.7	 1	 5
393.0	 0	 4
403.2	 1	 5
408.7	 2	 5
456.3	 1	 4
456.5	 0	 4
469.5	 1	 5
469.7	 2	 5
469.8	 1	 4
469.9	 2	 5
470.0	 1	 4
470.1	 2	 5
470.2	 1	 4
470.3	 2	 5
470.4	 1	 4
470.5	 2	 5
470.6	 1	 4
470.8	 0	 4
470.9	 1	 5
471.1	 2	 5
471.2	 1	 4
471.3	 2	 5
471.4	 1	 4
471.5	 2	 5
471.6	 1	 4
471.7	 2	 5
471.8	 1	 4
471.9	 2	 5
472.0	 1	 4
472.1	 2	 5
472.2	 1	 4
472.3	 2	 5
472.4	 1	 4
472.5	 2	 5
472.6	 1	 4
472.8	 0	 4
499.5	 1	 5
499.8	 0	 4
506.1	 1	 5
506.3	 2	 5
506.4	 1	 4
506.5	 2	 5
506.6	 1	 4
506.8	 0	 4
541.9	 1	 5
574.0	 2	 5
576.3	 1	 4
576.5	 0	 4
589.5	 1	 5
589.7	 2	 5
589.8	 1	 4
589.9	 2	 5
590.0	 1	 4
590.1	 2	 5
590.2	 1	 4
590.3	 2	 5
590.4	 1	 4
590.5	 2	 5
590.6	 1	 4
590.7	 2	 5
590.8	 1	 4
590.9	 2	 5
591.0	 1	 4
591.1	 2	 5
591.2	 1	 4
591.3	 2	 5
591.4	 1	 4
591.5	 2	 5
591.6	 1	 4
591.8	 0	 4
597.1	 1	 5
597.4	 0	 4
614.6	 1	 5
614.9	 0	 4
619.6	 1	 5
619.9	 0	 4
626.1	 1	 5
626.4	 0	 4
632.4	 1	 5
632.7	 0	 4
640.2	 1	 5
640.5	 0	 4
642.6	 1	 5
696.3	 0	 4
709.7	 1	 5
709.9	 2	 5
710.0	 1	 4
710.2	 0	 4
710.3	 1	 5
710.5	 2	 5
710.6	 1	 4
710.7	 2	 5
710.8	 1	 4
710.9	 2	 5
711.0	 1	 4
711.1	 2	 5
711.2	 1	 4
711.3	 2	 5
711.4	 1	 4
711.5	 2	 5
711.6	 1	 4
711.7	 2	 5
711.8	 1	 4
711.9	 2	 5
712.0	 1	 4
712.1	 2	 5
712.2	 1	 4
712.3	 2	 5
712.4	 1	 4
712.5	 2	 5
712.6	 1	 4
712.7	 2	 5
712.8	 1	 4
712.9	 2	 5
713.0	 1	 4
713.1	 2	 5
713.2	 3	 5
713.2	 2	 4
713.3	 3	 5
713.4	 2	 4
713.5	 3	 5
713.6	 2	 4
713.7	 3	 5
713.8	 2	 4
713.9	 3	 5
714.0	 2	 4
714.2	 1	 4
714.4	 0	 4
724.9	 1	 5
725.2	 0	 4
726.2	 1	 5
726.5	 0	 4
733.3	 1	 5
733.6	 0	 4
737.0	 1	 5
737.3	 0	 4
739.2	 1	 5
739.5	 0	 4
746.1	 1	 5
746.3	 2	 5
746.4	 1	 4
746.5	 2	 5
746.6	 1	 4
746.7	 2	 5
746.8	 1	 4
746.9	 2	 5
747.0	 1	 4
747.2	 0	 4
753.8	 1	 5
754.1	 0	 4
760.5	 1	 5
760.8	 0	 4
774.8	 1	 5
816.3	 0	 4
829.5	 1	 5
829.7	 2	 5
829.8	 1	 4
830.0	 0	 4
830.1	 1	 5
830.3	 2	 5
830.4	 1	 4
830.5	 2	 5
830.6	 1	 4
830.7	 2	 5
830.8	 1	 4
830.9	 2	 5
831.0	 1	 4
831.1	 2	 5
831.2	 1	 4
831.3	 2	 5
831.4	 1	 4
831.5	 2	 5
831.6	 1	 4
831.7	 2	 5
831.8	 1	 4
832.0	 0	 4
832.1	 1	 5
832.3	 2	 5
832.4	 1	 4
832.5	 2	 5
832.6	 1	 4
832.7	 2	 5
832.8	 1	 4
832.9	 2	 5
833.0	 1	 4
833.1	 2	 5
833.2	 1	 4
833.3	 2	 5
833.4	 1	 4
833.6	 0	 4
866.1	 1	 5
866.3	 2	 5
866.4	 1	 4
866.6	 0	 4
873.7	 1	 5
874.0	 0	 4
891.7	 1	 5
894.5	 2	 5
932.7	 3	 5
936.3	 2	 4
936.5	 1	 4
936.7	 0	 4
949.5	 1	 5
949.7	 2	 5
949.8	 1	 4
949.9	 2	 5
950.0	 1	 4
950.1	 2	 5
950.2	 1	 4
950.3	 2	 5
950.4	 1	 4
950.5	 2	 5
950.6	 1	 4
950.7	 2	 5
950.8	 1	 4
950.9	 2	 5
951.0	 1	 4
951.1	 2	 5
951.2	 1	 4
951.4	 0	 4
951.5	 1	 5
951.7	 2	 5
951.8	 1	 4
951.9	 2	 5
952.0	 1	 4
952.2	 0	 4
