node id	input link	output link																														
10001	200054	200037	200054	200053	100037	100054	100037	200053																								
10001	100053	100054	100053	200037																												
10001	100037	100054	100037	200037	100037	200053	100053	100054	100053	200037	100053	200053	200054	100054	200054	200037	200054	200053														
10002	10002	10003	20003	100058	20003	20002																										
10002	10005	10003	10005	20002	100057	10003	100057	20002																								
10002	10005	10003	10005	100058	10005	20002	10002	10003	10002	100058	10002	20002	100057	10003	100057	100058	100057	20002	20003	10003	20003	100058	20003	20002								
10003	10003	10004	10003	10008	20008	100040	20008	20003																								
10003	100038	10008	100038	100040	100039	10004	100039	20003																								
10003	10003	10004	10003	10008	10003	100040	10003	20003	100038	10004	100038	10008	100038	100040	100038	20003	100039	10004	100039	10008	100039	100040	100039	20003	20008	10004	20008	10008	20008	100040	20008	20003
10004	10008	100011	10008	100036	200011	20008																										
10004	100042	100011																														
10004	10008	100011	10008	100041	10008	100036	10008	20008	100042	100011	100042	100041	100042	100036	100042	20008	100059	100011	100059	100041	100059	100036	100059	20008	200011	100011	200011	100041	200011	100036	200011	20008
10005	200014	100060	100011	100043																												
10005	100011	100014	100011	100060	100011	100043																										
10005	100011	100014	100011	100060	200014	200011	200014	100043																								
10005	100044	100014	100044	100043	100044	200011	100061	100014	100061	100060	100061	200011																				
10005	100011	100014	100011	100043	100011	100060	100011	200011	100044	100014	100044	100043	100044	100060	100044	200011	100061	100014	100061	100043	100061	100060	100061	200011	200014	100014	200014	100043	200014	100060	200014	200011
10006	100014	100045	200017	100062																												
10006	100014	100062	100014	100017	200017	100045	200017	200014																								
10006	100046	100017	100046	100045	100063	100062	100063	200014																								
10006	100014	100017	100014	100045	100014	100062	100014	200014	100046	100017	100046	100045	100046	100062	100046	200014	100063	100017	100063	100045	100063	100062	100063	200014	200017	100017	200017	100045	200017	100062	200017	200014
10007	100017	100047	200020	100065																												
10007	100017	100020	100017	100065	200020	200017	200020	100047																								
10007	100048	200017	100064	100020																												
10007	100048	100020	100048	100047	100064	100065	100064	200017																								
10007	100017	100020	100017	100047	100017	100065	100017	200017	100048	100020	100048	100047	100048	100065	100048	200017	100064	100020	100064	100047	100064	100065	100064	200017	200020	100020	200020	100047	200020	100065	200020	200017
10008	200021	100050	200021	200020																												
10008	200021	200020	100020	100021	100020	100050																										
10008	100066	100050	100066	200020	100066	100021																										
10008	100066	100050	100066	200020	100049	100021																										
10008	100020	100021	100020	100050	100020	200020	100049	100021	100049	100050	100049	200020	100066	100021	100066	100050	100066	200020	200021	100021	200021	100050	200021	200020								
10009	200023	100022	200023	200021																												
10009	100021	100022	100021	100023																												
10009	100021	100022	100021	100023	100021	200021	200023	100022	200023	100023	200023	200021																				
100012	100067	100032	100067	200028																												
100012	200032	100051	200032	200028	100028	100032	100028	100051																								
100012	200032	100051	200032	200028																												
100012	100028	100032	100028	100051	100028	200028	100067	100032	100067	100051	100067	200028	200032	100032	200032	100051	200032	200028														
100013	100032	100033	100032	100052																												
100013	100032	100033	200033	100052	200033	200032																										
100013	100068	100033	100068	200032																												
100013	100032	100033	100032	100052	100032	200032	100068	100033	100068	100052	100068	200032	200033	100033	200033	100052	200033	200032														
100025	100024	100028	200028	200024																												
100025	100027	100028	100027	200024																												
100025	100024	100028	100024	200024	100027	100028	100027	200024	200028	100028	200028	200024																				
100016	100054	100056	100054	10002	20002	200054																										
100016	100054	100056	100054	10002	100054	200054	20002	100056	20002	10002	20002	200054																				
100011	100023	100024	100023	100025	200024	100025	200024	200023																								
100011	100023	100024	100023	100025	100023	200023	200024	100024	200024	100025	200024	200023																				
100014	100033	100034	100033	100035	200034	100035	200034	200033																								
100014	100033	100034	100033	100035	100033	200033	200034	100034	200034	100035	200034	200033																				
