10002	100016	10002
10003	10002	10003
10008	10003	10004
100011	10004	10005
100014	10005	10006
100017	10006	10007
100020	10007	10008
100021	10008	10009
100023	10009	100011
100024	100011	100025
100028	100025	100012
100032	100012	100013
100033	100013	100014
100035	100014	100015
100054	10001	100016
20003	10003	10002
200028	100012	100025
20008	10004	10003
200014	10006	10005
200017	10007	10006
200032	100013	100012
200033	100014	100013
200021	10009	10008
200011	10005	10004
200023	100025	10009
200054	10002	10001
200020	10008	10007
