10001	100037	100053	200054	100080
10002	10005	10002	100057	20003
10003	10003	100038	100039	20008
10004	10008	100042	100059	200011
10005	100011	100044	100061	200014
10006	100014	100046	100063	200017
10007	100017	100048	100064	200020
10008	100020	100049	100066	200021
10009	100021	200023		
100012	100028	100067	200032	
100013	100032	100068	200033	
100015	100035			
100016	100054			
100011	100023					
100025	100024	200028	100027	
100014	100033	100074	100070	100071
