10002	100016	10002	157.6016676	22	11.75149633
10003	10002	10003	157.6016676	22	11.75149633
10004	10003	-1	70.07146975	0	5.224847124
10005	-1	10002	101.715129	0	7.584342121
10008	10003	10004	214.4295084	30	15.98883832
100011	10004	10005	209.894261	29	15.65066966
100014	10005	10006	140.1429395	20	10.44969425
100017	10006	10007	140.1429395	20	10.44969425
100020	10007	10008	70.07146975	10	5.224847124
100021	10008	10009	143.2241402	20	10.67944257
100022	10009	-1	28.51778868	0	2.126415882
100023	10009	100011	695.879377	99	51.88792778
100024	100011	100025	70.07146975	10	5.224847124
100025	100011	-1	57.912	0	4.318181818
100027	-1	100025	70.07146975	0	5.224847124
100028	100025	100012	70.07146975	10	5.224847124
100032	100012	100013	70.07146975	10	5.224847124
100033	100013	100014	70.07146975	10	5.224847124
100034	100014	-1	70.07146975	0	5.224847124
100035	100014	-1	70.07146975	0	5.224847124
100037	-1	10001	70.07146975	0	5.224847124
100038	-1	10003	70.07146975	0	5.224847124
100039	-1	10003	70.07146975	0	5.224847124
100040	10003	-1	70.07146975	0	5.224847124
100041	10004	-1	70.07146975	0	5.224847124
100042	-1	10004	70.07146975	0	5.224847124
100043	10005	-1	70.07146975	0	5.224847124
100044	-1	10005	70.07146975	0	5.224847124
100045	10006	-1	70.07146975	0	5.224847124
100046	-1	10006	70.07146975	0	5.224847124
100047	10007	-1	70.07146975	0	5.224847124
100048	-1	10007	70.07146975	0	5.224847124
100049	-1	10008	70.07146975	0	5.224847124
100050	10008	-1	70.07146975	0	5.224847124
100051	100012	-1	70.07146975	0	5.224847124
100052	100013	-1	70.07146975	0	5.224847124
100053	-1	10001	124.9079451	0	9.31370385
200053	10001	-1	124.9079451	0	9.31370385
100054	10001	100016	263.7431758	37	19.66588939
100056	100016	-1	127.9709958	0	9.542098829
100057	-1	10002	61.53369742	0	4.588232032
100058	10002	-1	44.53900904	0	3.321030858
100036	10004	-1	66.90303695	0	4.98859438
100059	-1	10004	46.07248075	0	3.435373475
100060	10005	-1	84.97503778	0	6.336124865
100061	-1	10005	76.87397593	0	5.732072889
100062	10006	-1	71.44176281	0	5.3270224
100063	-1	10006	53.33154125	0	3.976642005
100064	-1	10007	96.75181032	0	7.214254528
100065	10007	-1	104.9935619	0	7.828796971
100066	-1	10008	91.7668352	0	6.842552136
100067	-1	100012	90.16878754	0	6.723394442
100068	-1	100013	82.37642318	0	6.142360354
20002	10002	100016	157.6016676	22	11.75149633
20003	10003	10002	157.6016676	22	11.75149633
200028	100012	100025	70.07146975	10	5.224847124
20008	10004	10003	214.4295084	30	15.98883832
200014	10006	10005	140.1429395	20	10.44969425
200017	10007	10006	140.1429395	20	10.44969425
200032	100013	100012	70.07146975	10	5.224847124
200033	100014	100013	70.07146975	10	5.224847124
200021	10009	10008	143.2241402	20	10.67944257
200011	10005	10004	209.894261	29	15.65066966
200024	100025	100011	70.07146975	10	5.224847124
200023	100011	10009	695.879377	99	51.88792778
200054	100016	10001	263.7431758	37	19.66588939
200020	10008	10007	70.07146975	10	5.224847124
200037	10001	-1	70.07146975	0	5.224847124
200034	-1	100014	70.07146975	0	5.224847124
